# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_Try2_model
# start_datetime = 2025-04-07 17:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_3.data.R
# init = 2 (Default)
# random
#   seed = 408891310 (Default)
# output
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-533.494,0.503402,0.023913,7,159,0,538.739,-1.97052,-1.80523,-0.723764,-0.844748,-2.48738,13.6983,-1.7847,0.00147417,0.0243457,0.350965,0.115525,51,41,59.2087
-535.901,0.974226,0.00824919,9,1023,0,537.564,-1.92593,-1.89816,1.70778,-1.19944,-4.73472,14.8624,-1.69362,0.00370366,0.0127303,1.01964,0.080056,51,41,84.2545
-534.317,0.548183,0.0169758,10,1023,0,538.422,-1.83753,-1.95246,1.72106,-1.79404,15.9805,14.4068,-0.849313,0.00812355,0.00594236,1.02329,0.0205956,51,41,316.439
-532.985,0.981702,0.00848003,9,1023,0,535.424,-1.70239,-1.98407,0.466391,-1.73843,16.044,14.5147,-1.03118,0.0148804,0.00199086,0.678257,0.0261573,51,41,266.425
-532.034,0.999987,0.00790846,10,1023,0,536.483,-1.96407,-1.30599,0.965367,-1.5103,13.5352,16.5633,-1.52028,0.00179655,0.0867517,0.815476,0.0489695,51,41,131.924
-532.034,0.0112308,0.0226821,8,399,0,534.541,-1.96407,-1.30599,0.965367,-1.5103,13.5352,16.5633,-1.52028,0.00179655,0.0867517,0.815476,0.0489695,51,41,131.924
-532.384,0.999569,0.00124632,10,1023,0,533.655,-1.96167,-1.20737,0.98225,-1.50778,14.1732,15.8866,-1.5199,0.00191649,0.0990791,0.820119,0.0492216,51,41,132.028
-532.887,0.999999,0.0038539,10,1023,0,533.711,-1.95997,-1.74574,-0.645159,-1.5404,15.1322,15.5251,-1.49792,0.00200135,0.0317823,0.372581,0.04596,51,41,138.072
-532.985,0.999322,0.00569224,10,1023,0,534.474,-1.96354,-1.81026,-0.778196,-1.25039,15.1607,15.5032,-1.67847,0.00182314,0.0237178,0.335996,0.0749615,51,41,88.4198
-534.484,0.881611,0.0102444,10,1023,0,536.819,-1.97228,-1.77902,-0.283285,-0.814783,17.3659,13.0128,-1.7803,0.00138576,0.0276229,0.472097,0.118522,51,41,60.4176
-536.113,0.986534,0.00442903,10,1023,0,540.186,-1.96938,-1.55983,1.11562,-1.34985,9.35254,11.1708,-1.63088,0.00153093,0.0550217,0.856794,0.0650154,51,41,101.508
-533.677,0.927247,0.0133168,9,1023,0,537.397,-1.94393,-1.88625,0.0308339,-0.892574,12.8096,12.4871,-1.78202,0.00280345,0.0142184,0.558479,0.110743,51,41,59.9458
-533.434,0.515963,0.0221597,9,959,0,536.485,-1.95424,-1.85703,-0.870033,-1.53751,13.3799,14.9876,-1.50125,0.00228792,0.0178707,0.310741,0.0462491,51,41,137.157
-532.97,0.981296,0.00764626,8,511,0,539.865,-1.56552,-1.99197,0.826057,-1.83698,14.0179,16.1324,-0.318537,0.0217239,0.00100396,0.777166,0.0163022,51,41,462.402
-532.941,0.997827,0.0109838,10,1023,0,534.571,-1.96639,-0.546938,1.7271,-1.52312,5.81786,10.9413,-1.51158,0.00168067,0.181633,1.02495,0.0476879,51,41,134.316
-534.145,0.749398,0.0157218,10,1023,0,537.762,-1.95592,-0.0634292,1.64996,-1.66786,5.05188,16.0111,-1.31593,0.00220416,0.242071,1.00374,0.033214,51,41,188.118
-534.622,0.924913,0.0117053,9,1023,0,537.363,-1.96161,-1.89006,-1.12558,-1.3397,5.21994,12.0924,-1.63278,0.00191948,0.013742,0.240465,0.0660298,51,41,100.984
-533.923,0.288696,0.0228907,6,95,0,536.057,-1.95719,-1.89305,-0.870886,-1.16089,5.49495,12.348,-1.71099,0.00214034,0.0133688,0.310506,0.0839107,51,41,79.4782
-532.712,0.98579,0.00276041,10,1023,0,537.92,-1.92602,-1.84996,1.21007,-1.59342,5.86791,11.7129,-1.41339,0.00369893,0.0187552,0.88277,0.0406577,51,41,161.318
-532.304,0.913686,0.00806587,8,511,0,535.065,-1.89114,-1.89848,1.20336,-1.75039,5.66407,11.8814,-1.06582,0.00544296,0.0126899,0.880925,0.0249612,51,41,256.899
-533.722,0.998945,0.0046408,10,1023,0,535.28,-1.92401,-1.1968,1.51692,-1.85,6.29017,10.1562,-0.472672,0.00379952,0.1004,0.967153,0.0150001,51,41,420.015
-533.551,0.803974,0.0128247,10,1023,0,540.053,-1.90654,-1.85428,0.191101,-1.84647,11.1951,18.4798,-0.5259,0.00467292,0.0182156,0.602553,0.0153533,51,41,405.378
-532.969,0.936401,0.0161154,7,143,0,535.069,-1.87671,-1.89857,0.357344,-1.87036,11.0992,18.3237,-0.173661,0.00616467,0.0126787,0.64827,0.0129639,51,41,502.243
-532.499,0.974609,0.0106387,10,1023,0,535.634,-1.88195,-1.94987,-0.662065,-1.82879,4.43462,12.8186,-0.617073,0.00590236,0.00626564,0.367932,0.0171208,51,41,380.305
-532.499,0.0375431,0.0242555,3,11,0,535.152,-1.88195,-1.94987,-0.662065,-1.82879,4.43462,12.8186,-0.617073,0.00590236,0.00626564,0.367932,0.0171208,51,41,380.305
-533.081,0.999481,0.00161087,10,1023,0,534.924,-1.88186,-1.94644,-0.870043,-1.82886,4.12653,12.7834,-0.612818,0.0059072,0.00669509,0.310738,0.017114,51,41,381.475
-535.055,0.983139,0.00556101,10,1023,0,538.552,-1.87829,-1.9404,1.80462,-0.886873,7.22034,7.5665,-1.77914,0.0060854,0.00745019,1.04627,0.111313,51,41,60.7352
-535.174,0.96654,0.00958658,9,767,0,536.168,-1.82119,-1.96267,1.77473,-0.959271,7.25499,6.36482,-1.76781,0.00894036,0.00466579,1.03805,0.104073,51,41,63.8529
-535.94,0.985616,0.0122775,9,511,0,538.535,-1.71404,-1.98013,1.91997,-0.784016,7.58308,7.28141,-1.79119,0.0142981,0.00248376,1.07799,0.121598,51,41,57.4227
-532.626,0.727884,0.0124556,9,1023,0,541.874,-1.92764,-1.88301,-0.982222,-1.76729,12.3081,7.33284,-0.998445,0.00361815,0.0146238,0.279889,0.0232707,51,41,275.428
-532.435,0.801887,0.0124081,10,1023,0,536.839,-1.88454,-1.92562,-0.466221,-1.84465,13.0221,7.47839,-0.525065,0.00577321,0.00929794,0.421789,0.0155351,51,41,405.607
