# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_model
# start_datetime = 2025-04-04 14:51:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_1.data.R
# init = 2 (Default)
# random
#   seed = 141761547 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-994013,0.935357,0.53917,3,7,0,994018,1.99777,1.75942,-1.85784,1.99979,-50.8022,-70.5725,3.81976,0.999441,0.939855,0.035539,0.999947,51,41,1600.43
-994014,0.972057,0.427523,7,223,0,994015,1.99684,1.95589,-1.8044,1.99998,-21.3635,-36.8658,3.81983,0.999211,0.988973,0.0488995,0.999995,51,41,1600.45
-994014,0.979339,0.598561,10,1023,0,994018,1.99932,1.9082,-1.81347,1.99969,-716.982,-278.061,3.81997,0.999829,0.97705,0.0466336,0.999922,51,41,1600.49
-994012,0.333333,2.13814,2,3,0,994014,1.99964,1.87166,-1.8887,1.99984,-717.841,-275.916,3.81964,0.99991,0.967915,0.0278253,0.99996,51,41,1600.4
-994013,0.975868,0.252086,6,79,0,994017,1.99961,1.75565,-1.94837,1.99989,-724.186,-270.101,3.81977,0.999902,0.938913,0.0129084,0.999974,51,41,1600.44
-994013,0.998765,0.411601,6,87,0,994015,1.99969,1.97824,-1.81351,1.99986,-706.92,-271.396,3.81933,0.999923,0.99456,0.0466231,0.999965,51,41,1600.31
-994014,0.855449,0.601854,3,7,0,994017,1.9998,1.95886,-1.94117,1.99987,-707.366,-271.319,3.81895,0.99995,0.989715,0.0147075,0.999966,51,41,1600.21
-994016,0.9688,0.459126,3,7,0,994017,1.99993,1.82168,-1.95388,1.99967,-709.007,-271.844,3.81996,0.999983,0.95542,0.0115312,0.999918,51,41,1600.49
-994016,0.397827,1.16946,3,7,0,994019,1.99992,1.99547,-1.8293,1.99989,-708.885,-274.756,3.81991,0.999981,0.998867,0.0426748,0.999973,51,41,1600.47
-994013,0.964786,0.432625,3,7,0,994019,1.99965,1.94999,-1.92705,1.99977,-708.715,-275.629,3.81991,0.999912,0.987498,0.0182378,0.999943,51,41,1600.48
-994013,0.992016,0.609904,10,1023,0,994016,1.99975,1.89366,-1.94114,1.99979,-1164.06,-559.878,3.81936,0.999938,0.973414,0.0147158,0.999947,51,41,1600.33
-994015,0.892301,0.4912,3,7,0,994018,1.99966,1.77559,-1.9833,1.99946,-1165.4,-559.162,3.81944,0.999914,0.943897,0.0041744,0.999865,51,41,1600.35
-994015,0.962775,0.705517,10,1023,0,994019,1.99763,1.98191,-1.97444,1.99988,-362.341,84.5427,3.81872,0.999407,0.995479,0.00639102,0.999971,51,41,1600.15
-994015,0.0138424,1.54177,2,7,0,994021,1.99763,1.98191,-1.97444,1.99988,-362.341,84.5427,3.81872,0.999407,0.995479,0.00639102,0.999971,51,41,1600.15
-994012,0.995607,0.174209,10,1023,0,994018,1.99724,1.95544,-1.86499,1.99987,-331.858,244.732,3.81959,0.99931,0.988859,0.0337527,0.999968,51,41,1600.39
-994012,0.998863,0.262304,10,1023,0,994013,1.99883,1.95424,-1.88947,1.99969,-507.455,295.687,3.8195,0.999708,0.98856,0.0276327,0.999923,51,41,1600.36
-994013,0.95991,0.389114,7,143,0,994014,1.99671,1.84041,-1.92631,1.99993,-532.013,270.202,3.81941,0.999178,0.960103,0.0184223,0.999982,51,41,1600.34
-994013,0.986817,0.308078,10,1023,0,994018,1.99913,1.98519,-1.80063,1.99996,-865.529,155.992,3.8197,0.999783,0.996298,0.0498435,0.999989,51,41,1600.42
-994015,0.976458,0.540989,3,7,0,994017,1.99689,1.66194,-1.90118,1.99998,-862.971,156.575,3.81985,0.999222,0.915485,0.024705,0.999994,51,41,1600.46
-994014,0.777769,0.885218,3,7,0,994019,1.99977,1.99064,-1.92899,1.9998,-863.949,155.405,3.81982,0.999943,0.997659,0.017753,0.999951,51,41,1600.45
-994014,0.83533,0.875334,2,7,0,994015,1.9997,1.98569,-1.90545,1.9995,-864.511,154.869,3.81988,0.999925,0.996422,0.0236374,0.999875,51,41,1600.47
-994014,0.977463,0.711755,3,7,0,994015,1.99685,1.75332,-1.90833,1.99998,-864.057,155.598,3.81972,0.999211,0.938331,0.0229177,0.999994,51,41,1600.42
-994014,3.97198e-10,1.31553,2,3,0,994022,1.99685,1.75332,-1.90833,1.99998,-864.057,155.598,3.81972,0.999211,0.938331,0.0229177,0.999994,51,41,1600.42
-994012,0.999802,0.127294,5,31,0,994015,1.99931,1.95961,-1.84547,1.99983,-865.605,155.047,3.81959,0.999826,0.989904,0.038632,0.999959,51,41,1600.39
-994013,0.998265,0.16655,10,1023,0,994014,1.99713,1.81432,-1.94986,1.99986,-759.436,115.553,3.81972,0.999284,0.95358,0.0125352,0.999964,51,41,1600.42
-994013,0.996765,0.206241,10,1023,0,994016,1.99977,1.87548,-1.93837,1.99977,-743.53,237.479,3.81949,0.999942,0.96887,0.0154065,0.999944,51,41,1600.36
-994013,0.982589,0.440846,7,255,0,994015,1.9997,1.89021,-1.97284,1.99984,-770.177,212.611,3.81988,0.999926,0.972552,0.00678962,0.999961,51,41,1600.47
-994014,0.994444,0.303934,10,1023,0,994016,1.99505,1.88185,-1.94684,1.99981,-818.862,503.508,3.81994,0.998764,0.970462,0.0132896,0.999953,51,41,1600.48
