# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrTransport_model
# start_datetime = 2024-06-04 13:08:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 4
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrTransport_4.data.R
# init = 2 (Default)
# random
#   seed = 3934747241 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrTransport_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_f1,k_r1,T1_P,T1_X,kin,theta.1,theta.2,theta.3,theta.4,theta.5
-3562.41,1,0.0011674,2,3,0,17827.6,-0.0130137,-1.61277,-1.35475,1.01197,-1.79896,0.0501729,0.00835081,44.2737,50.1698,0.000292576
-3562.41,0,15.3981,0,1,1,3563.78,-0.0130137,-1.61277,-1.35475,1.01197,-1.79896,0.0501729,0.00835081,44.2737,50.1698,0.000292576
-3562.41,0,2.69919,0,1,1,3563.53,-0.0130137,-1.61277,-1.35475,1.01197,-1.79896,0.0501729,0.00835081,44.2737,50.1698,0.000292576
-3562.41,0,0.0973797,0,1,1,3564.05,-0.0130137,-1.61277,-1.35475,1.01197,-1.79896,0.0501729,0.00835081,44.2737,50.1698,0.000292576
-3562.41,0,0.0137309,0,1,1,3564.44,-0.0130137,-1.61277,-1.35475,1.01197,-1.79896,0.0501729,0.00835081,44.2737,50.1698,0.000292576
-3552.18,1,0.000399589,3,7,0,3569.92,-0.01254,-1.612,-1.35405,1.01178,-1.80002,0.0501846,0.00836584,44.2772,50.1683,0.000291293
-3534.47,1,0.000861574,1,1,0,3551.45,-0.0128452,-1.61212,-1.35408,1.01235,-1.80246,0.0501771,0.00836346,44.2771,50.173,0.000288337
-3492.79,1,0.000829813,2,3,0,3531.98,-0.0124626,-1.61193,-1.35264,1.01296,-1.81025,0.0501865,0.00836717,44.2845,50.1781,0.000278888
-3486.44,0.986497,0.00141156,3,7,0,3492.2,-0.0131106,-1.61092,-1.35225,1.01284,-1.81224,0.0501705,0.00838687,44.2865,50.1771,0.000276475
-3481.91,1,0.00120102,2,3,0,3486.85,-0.0129165,-1.61096,-1.35211,1.01399,-1.81459,0.0501753,0.00838616,44.2872,50.1866,0.000273636
-3455.98,0.934524,0.00189598,2,3,0,3481.95,-0.0133943,-1.61151,-1.34204,1.01721,-1.81682,0.0501635,0.0083753,44.3388,50.2135,0.00027093
-3455.98,4.28661e-05,0.00475605,1,1,0,3457.27,-0.0133943,-1.61151,-1.34204,1.01721,-1.81682,0.0501635,0.0083753,44.3388,50.2135,0.00027093
-3433.25,0.99986,0.000190495,6,63,0,3458.35,-0.0238119,-1.61683,-1.3334,1.01996,-1.81828,0.0499057,0.00827139,44.383,50.2365,0.000269165
-3428.97,0.999843,0.000758665,3,7,0,3434.56,-0.0254989,-1.61422,-1.33136,1.01944,-1.81764,0.0498639,0.0083225,44.3934,50.2321,0.000269936
-3390.3,0.97674,0.000581394,4,15,0,3431.85,-0.0307924,-1.62747,-1.3164,1.02766,-1.81737,0.0497329,0.00806369,44.4701,50.3007,0.000270262
-3389.77,0.943962,0.000745527,5,31,0,3393.8,-0.0317215,-1.62786,-1.31654,1.02716,-1.81907,0.0497099,0.00805603,44.4693,50.2966,0.0002682
-3382.67,0.998292,0.00120601,3,7,0,3390.85,-0.0347513,-1.62676,-1.31384,1.02976,-1.81921,0.0496349,0.00807748,44.4831,50.3182,0.000268028
-3382.67,2.56949e-07,0.00413169,1,1,0,3383.85,-0.0347513,-1.62676,-1.31384,1.02976,-1.81921,0.0496349,0.00807748,44.4831,50.3182,0.000268028
-3361.64,0.999458,0.000395923,5,31,0,3385.51,-0.0435399,-1.62658,-1.30438,1.02606,-1.81905,0.0494174,0.00808114,44.5316,50.2873,0.000268224
-2976.41,0.988703,0.000668064,5,39,0,3368.27,-0.0594253,-1.66071,-1.13251,1.06718,-1.82695,0.0490243,0.0074145,45.4116,50.6303,0.000258657
-2979.51,0.977474,0.000564256,4,15,0,2988.33,-0.057907,-1.66049,-1.13376,1.0669,-1.82614,0.0490619,0.00741889,45.4051,50.628,0.000259642
-2967.79,0.908878,0.00119834,3,7,0,2982.39,-0.0618775,-1.65945,-1.12836,1.07146,-1.82932,0.0489636,0.00743912,45.4328,50.666,0.000255788
-2963.57,0.48212,0.0022286,2,3,0,2969.76,-0.0651044,-1.65919,-1.12618,1.07106,-1.8295,0.0488838,0.00744425,45.4439,50.6626,0.000255565
-2948.78,0.998207,0.000382681,4,15,0,2964.91,-0.0612952,-1.66359,-1.11903,1.07248,-1.82598,0.048978,0.00735837,45.4806,50.6745,0.00025983
-2902.12,0.999865,0.000832542,4,15,0,2950.35,-0.0603828,-1.65741,-1.09601,1.08086,-1.82665,0.0490006,0.00747908,45.5984,50.7444,0.00025902
-2848.64,0.987193,0.00190725,3,7,0,2905.89,-0.0780884,-1.66855,-1.07103,1.09209,-1.82799,0.0485625,0.00726138,45.7263,50.838,0.000257392
-2837.05,0.778202,0.00193385,2,3,0,2849.73,-0.0778901,-1.67016,-1.06503,1.09152,-1.83186,0.0485674,0.00723004,45.757,50.8333,0.000252708
-2833.34,1,0.00228729,2,3,0,2837.21,-0.0766784,-1.66947,-1.06314,1.09105,-1.82905,0.0485974,0.00724356,45.7667,50.8293,0.000256113
