# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrTransport_model
# start_datetime = 2024-06-04 13:08:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 2
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrTransport_2.data.R
# init = 2 (Default)
# random
#   seed = 3934747241 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrTransport_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_f1,k_r1,T1_P,T1_X,kin,theta.1,theta.2,theta.3,theta.4,theta.5
-7717.32,0.666667,0.00500823,2,3,0,8339.63,-0.771006,-0.0978539,-0.312534,0.811164,-1.90283,0.0314145,0.0379336,49.6098,48.4951,0.000166712
-7717.32,0,8.4832,0,1,1,7719.65,-0.771006,-0.0978539,-0.312534,0.811164,-1.90283,0.0314145,0.0379336,49.6098,48.4951,0.000166712
-7717.32,0,0.728661,0,1,1,7718.67,-0.771006,-0.0978539,-0.312534,0.811164,-1.90283,0.0314145,0.0379336,49.6098,48.4951,0.000166712
-7717.32,0,0.0852626,0,1,1,7718.97,-0.771006,-0.0978539,-0.312534,0.811164,-1.90283,0.0314145,0.0379336,49.6098,48.4951,0.000166712
-2167.58,1,0.00354689,1,1,0,4967.81,-0.759967,-0.108886,-0.303493,0.81632,-1.61562,0.0316876,0.0377182,49.6561,48.5381,0.000514739
-2127.33,0.670666,0.00465661,2,3,0,2138.77,-0.769384,-0.110102,-0.305591,0.812474,-1.64896,0.0314546,0.0376944,49.6454,48.506,0.000474333
-2114.33,1,0.00305559,2,3,0,2127.58,-0.769709,-0.118378,-0.288323,0.811356,-1.6357,0.0314466,0.0375328,49.7338,48.4967,0.000490401
-2111.94,1,0.00433345,2,3,0,2115.27,-0.766559,-0.120272,-0.286022,0.812008,-1.64783,0.0315245,0.0374959,49.7456,48.5021,0.000475708
-2087.58,0.996175,0.00386787,3,7,0,2115.15,-0.756752,-0.151761,-0.239093,0.79879,-1.64502,0.0317672,0.036881,49.9858,48.3919,0.000479111
-2087.58,8.72384e-40,0.00927977,1,3,1,2089.23,-0.756752,-0.151761,-0.239093,0.79879,-1.64502,0.0317672,0.036881,49.9858,48.3919,0.000479111
-2087.87,0.996788,0.00023125,5,63,0,2093.4,-0.754758,-0.15816,-0.233233,0.800862,-1.66008,0.0318166,0.036756,50.0158,48.4092,0.000460864
-2037.19,0.997934,0.000943179,6,63,0,2092.66,-0.752908,-0.438125,-0.0284647,0.861871,-1.70174,0.0318623,0.0312889,51.0643,48.918,0.000410381
-2024.48,1,0.00166302,5,31,0,2039.88,-0.728049,-0.448939,-0.0564708,0.850966,-1.70113,0.0324776,0.0310777,50.9209,48.8271,0.000411122
-2016.21,0.995781,0.00170486,6,63,0,2025.24,-0.747508,-0.468576,-0.083982,0.843183,-1.6966,0.031996,0.0306943,50.78,48.7621,0.000416612
-2012.43,0.0908273,0.00426206,4,15,0,2019.27,-0.763942,-0.480996,-0.114255,0.831324,-1.69114,0.0315893,0.0304517,50.625,48.6632,0.000423225
-1999.87,0.998013,0.000469082,7,127,0,2014.08,-0.720519,-0.576981,-0.125419,0.856951,-1.70708,0.0326639,0.0285774,50.5679,48.877,0.000403905
-1983.83,0.990273,0.000708379,7,127,0,2002.75,-0.664621,-0.706582,-0.123975,0.883457,-1.73117,0.0340472,0.0260465,50.5752,49.098,0.000374714
-1979.12,1,0.00132568,5,31,0,1984.28,-0.669922,-0.740363,-0.13314,0.898896,-1.73353,0.033916,0.0253869,50.5283,49.2268,0.000371859
-1976.42,0.875106,0.00161704,5,31,0,1981.53,-0.684926,-0.769935,-0.145757,0.916989,-1.73156,0.0335447,0.0248094,50.4637,49.3777,0.000374247
-1976.9,0.958809,0.00113281,3,7,0,1978.06,-0.684365,-0.768181,-0.147321,0.915964,-1.73875,0.0335586,0.0248437,50.4557,49.3691,0.000365529
-1974.07,0.988822,0.00176994,5,31,0,1977.62,-0.676457,-0.793541,-0.138635,0.912214,-1.73467,0.0337543,0.0243484,50.5002,49.3379,0.000370477
-1974.07,5.07034e-46,0.00598852,1,1,0,1974.79,-0.676457,-0.793541,-0.138635,0.912214,-1.73467,0.0337543,0.0243484,50.5002,49.3379,0.000370477
-1959.14,0.999987,0.000282534,8,255,0,1975.11,-0.686951,-0.910867,-0.138743,0.951898,-1.75456,0.0334946,0.0220573,50.4996,49.6688,0.000346373
-1943.93,0.999661,0.000563818,7,127,0,1961.04,-0.664351,-1.03896,-0.148052,0.922484,-1.76196,0.0340539,0.019556,50.452,49.4235,0.000337402
-1891.72,0.942131,0.00136747,6,95,1,1945.59,-0.853453,-1.38589,-0.153305,0.890876,-1.78135,0.0293741,0.0127812,50.4251,49.1599,0.000313907
-1883.28,0.957934,0.00173577,5,31,0,1892.6,-0.905174,-1.42783,-0.158145,0.899035,-1.7826,0.0280941,0.0119622,50.4003,49.228,0.000312398
-1882.26,0.999663,0.00192542,4,15,0,1883.51,-0.901201,-1.42889,-0.155456,0.893112,-1.78499,0.0281925,0.0119415,50.4141,49.1786,0.000309498
-1882.26,9.93428e-13,0.00471915,1,1,0,1885,-0.901201,-1.42889,-0.155456,0.893112,-1.78499,0.0281925,0.0119415,50.4141,49.1786,0.000309498
-1881.69,0.999509,0.000353875,8,255,0,1886.94,-0.923569,-1.44752,-0.103804,0.893733,-1.78684,0.0276389,0.0115777,50.6785,49.1837,0.000307264
-1851.25,0.999585,0.000410009,8,255,0,1883.09,-1.04923,-1.70409,-0.208934,0.877117,-1.80714,0.0245292,0.00656739,50.1403,49.0452,0.000282654
-1848.87,0.91768,0.00127204,5,31,0,1852.66,-1.06374,-1.7062,-0.186882,0.883836,-1.80551,0.0241701,0.00652618,50.2532,49.1012,0.00028464
-1845.74,0.99569,0.00100563,6,63,0,1849.8,-1.06659,-1.72524,-0.133574,0.866284,-1.80875,0.0240994,0.00615435,50.5261,48.9548,0.000280711
-1835.04,0.854645,0.00228191,5,31,0,1848.23,-1.18492,-1.74107,-0.169703,0.778234,-1.80006,0.0211712,0.0058454,50.3411,48.2205,0.000291242
-1813.27,0.94317,0.0017235,7,127,0,1842.22,-1.41571,-1.78752,-0.131031,0.383552,-1.76296,0.0154597,0.00493826,50.5391,44.9288,0.000336197
