# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrAllosteric_model
# start_datetime = 2024-07-17 14:42:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 750
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 2
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrAllosteric_2.data.R
# init = 2 (Default)
# random
#   seed = 3360580831 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrAllosteric_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,T1_P,T1_X,kin,kpl,kf,kr,a1,a2,a3,b1,b2,b3,ScFm,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1
-7.95015e+09,1,2.09161e-07,1,1,0,7.95021e+09,0.512343,-1.24566,-0.00132231,0.55996,0.404792,-0.669501,-0.256067,-0.690364,1.85625,0.098654,-0.458457,-1.54124,-1.99967,1.98475,28.4634,56.3534,0.00504673,0.450513,0.300998,0.0332692,0.000441623,0.328082,0.000964421,0.525139,0.000391532,0.0732407,13.9208,697.334
-7.95004e+09,1,2.74317e-07,1,1,0,7.95015e+09,0.512339,-1.24566,-0.00132076,0.559961,0.404793,-0.669501,-0.256067,-0.690363,1.85625,0.0986542,-0.458457,-1.54124,-1.99973,1.98475,28.4634,56.3534,0.00504673,0.450513,0.300998,0.0332692,0.000441623,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.9206,697.335
-7.94982e+09,0.5,4.00316e-07,1,2,1,7.95004e+09,0.512332,-1.24567,-0.00131696,0.559961,0.404793,-0.6695,-0.256067,-0.690364,1.85625,0.0986543,-0.458458,-1.54124,-1.99986,1.98475,28.4633,56.3533,0.00504674,0.450513,0.300998,0.0332692,0.000441623,0.328082,0.000964421,0.525139,0.000391532,0.0732407,13.9203,697.335
-7.94968e+09,0.5,3.18449e-07,1,2,1,7.94982e+09,0.512327,-1.24567,-0.00131515,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986548,-0.458458,-1.54124,-1.99995,1.98475,28.4633,56.3533,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.9201,697.334
-7.94967e+09,1,7.85194e-08,1,1,0,7.94968e+09,0.512327,-1.24567,-0.00131497,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986549,-0.458458,-1.54124,-1.99995,1.98475,28.4633,56.3533,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.9201,697.335
-7.94965e+09,1,9.81976e-08,2,3,0,7.94967e+09,0.512326,-1.24567,-0.00131482,0.559961,0.404793,-0.6695,-0.256066,-0.690364,1.85625,0.0986546,-0.458458,-1.54124,-1.99996,1.98475,28.4633,56.3533,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.9201,697.335
-7.94961e+09,1,1.87737e-07,1,1,0,7.94965e+09,0.512324,-1.24567,-0.00131386,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-1.99999,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94961e+09,0,5.1401e-07,0,1,1,7.94961e+09,0.512324,-1.24567,-0.00131386,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-1.99999,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.9496e+09,0.5,7.03755e-08,1,2,1,7.94961e+09,0.512324,-1.24567,-0.00131359,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986548,-0.458458,-1.54124,-1.99999,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.749319,2.6155e-08,2,4,1,7.9496e+09,0.512324,-1.24567,-0.00131351,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.75,2.49336e-08,2,4,1,7.94959e+09,0.512324,-1.24567,-0.0013135,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.748436,1.46913e-08,2,4,1,7.94959e+09,0.512324,-1.24567,-0.00131352,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.999439,1.43191e-08,2,3,0,7.94959e+09,0.512324,-1.24567,-0.00131347,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.666308,2.46053e-08,1,3,1,7.94959e+09,0.512324,-1.24567,-0.00131344,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.999678,1.1533e-08,2,3,0,7.94959e+09,0.512324,-1.24567,-0.00131343,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986548,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0,4.07805e-08,0,1,1,7.94959e+09,0.512324,-1.24567,-0.00131343,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986548,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.998973,4.0172e-09,2,3,0,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986548,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,1,7.80598e-09,2,3,0,7.94959e+09,0.512324,-1.24567,-0.0013134,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.998422,8.50895e-09,2,3,0,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986548,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.666667,1.70023e-08,1,3,1,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.999218,1.44053e-08,1,1,0,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0,1.96437e-08,0,1,1,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.749944,2.17562e-09,2,4,1,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.5,2.86716e-09,1,2,1,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0,7.89324e-10,0,1,1,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.749842,2.55842e-10,2,4,1,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.922935,1.80589e-10,3,13,1,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.831326,2.17498e-10,2,6,1,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.666667,4.21006e-10,1,3,1,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
