# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrNoTransport_model
# start_datetime = 2024-06-03 17:03:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 4
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_4.data.R
# init = 2 (Default)
# random
#   seed = 3862419333 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_f1,k_r1,T1_P,T1_X,theta.1,theta.2,theta.3,theta.4
-69920.8,0.666667,0.00426074,1,3,1,319562,0.158207,-1.77827,-1.4927,-1.19961,0.000914182,1.23827e-05,42.5365,42.4041
-69920.8,0,4.89253,0,1,1,69923.2,0.158207,-1.77827,-1.4927,-1.19961,0.000914182,1.23827e-05,42.5365,42.4041
-69920.8,0,0.627981,0,1,1,69921.8,0.158207,-1.77827,-1.4927,-1.19961,0.000914182,1.23827e-05,42.5365,42.4041
-69920.8,0,0.0818195,0,1,1,69921.5,0.158207,-1.77827,-1.4927,-1.19961,0.000914182,1.23827e-05,42.5365,42.4041
-16860.1,1,0.00518629,1,1,0,54621.1,-0.784019,-1.75938,-1.52827,-1.38851,0.000522405,1.34357e-05,42.3586,40.4207
-14402,1,0.00226791,1,1,0,16722.4,-0.864061,-1.76109,-1.52997,-1.39556,0.000489123,1.33403e-05,42.3501,40.3467
-8450.12,1,0.00436142,1,1,0,13057.8,-1.12861,-1.76626,-1.53013,-1.409,0.000379126,1.30521e-05,42.3494,40.2055
-8450.12,0,0.0101269,0,1,1,8451.6,-1.12861,-1.76626,-1.53013,-1.409,0.000379126,1.30521e-05,42.3494,40.2055
-8396.49,1,0.000336804,3,7,0,8452.08,-1.13198,-1.76509,-1.53033,-1.40899,0.000377722,1.3117e-05,42.3484,40.2056
-8308.8,1,0.000877455,1,1,0,8396.38,-1.13756,-1.76507,-1.53058,-1.40923,0.000375404,1.31182e-05,42.3471,40.2031
