# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_Try2_model
# start_datetime = 2025-04-07 17:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 2
# data
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_2.data.R
# init = 2 (Default)
# random
#   seed = 408891310 (Default)
# output
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-2264.08,1,0.00483916,1,1,0,4852.53,-0.00452395,-1.16424,-1.48155,-1.39344,-1.98601,1.19806,-1.29395,0.0997738,0.104471,0.142573,0.060656,51,41,194.165
-2264.08,0,11.6154,0,1,1,2267.08,-0.00452395,-1.16424,-1.48155,-1.39344,-1.98601,1.19806,-1.29395,0.0997738,0.104471,0.142573,0.060656,51,41,194.165
-2264.08,0,2.62092,0,1,1,2270.17,-0.00452395,-1.16424,-1.48155,-1.39344,-1.98601,1.19806,-1.29395,0.0997738,0.104471,0.142573,0.060656,51,41,194.165
-2264.08,0,0.168936,0,1,1,2265.65,-0.00452395,-1.16424,-1.48155,-1.39344,-1.98601,1.19806,-1.29395,0.0997738,0.104471,0.142573,0.060656,51,41,194.165
-1077.37,1,0.00632585,3,9,0,1975.04,-0.0028268,-1.16111,-1.48356,-1.45998,-1.98769,1.19759,-1.37279,0.0998587,0.104861,0.14202,0.0540022,51,41,172.484
-674.2,1,0.014868,2,3,0,913.973,-0.0134964,-1.15847,-1.48661,-1.57834,-2.00395,1.19502,-1.52829,0.0993252,0.105191,0.141181,0.0421665,51,41,129.72
-614.094,1,0.0106879,2,3,0,661.567,-0.0132219,-1.15834,-1.49178,-1.53456,-2.00507,1.22437,-1.46788,0.0993389,0.105207,0.13976,0.0465443,51,41,146.332
-614.094,5.7404e-05,0.0253768,1,3,0,614.945,-0.0132219,-1.15834,-1.49178,-1.53456,-2.00507,1.22437,-1.46788,0.0993389,0.105207,0.13976,0.0465443,51,41,146.332
-609.538,0.999982,0.00108483,10,1023,0,618.902,-0.264729,-0.383081,-0.499499,-1.71029,-2.95173,1.43614,-1.1558,0.0867636,0.202115,0.412638,0.0289708,51,41,232.156
-600.443,0.998055,0.00330889,8,383,0,614.408,-1.53221,-0.910037,-0.427214,-1.78578,-4.03912,0.621748,-0.929069,0.0233894,0.136245,0.432516,0.0214223,51,41,294.506
