# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrNoTransport_model
# start_datetime = 2024-06-03 17:03:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_3.data.R
# init = 2 (Default)
# random
#   seed = 3862419333 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_f1,k_r1,T1_P,T1_X,theta.1,theta.2,theta.3,theta.4
-2264.94,0.940941,0.00262459,6,63,0,2265.91,-1.63741,-0.245739,-0.00987711,0.258591,0.000167564,9.78126e-05,49.9506,57.7152
-2266.1,0.974126,0.00169185,5,47,0,2267.21,-1.64369,-0.214483,-0.0150492,0.27908,0.000164953,9.95549e-05,49.9248,57.9303
-2266.1,1.24619e-07,0.00595647,1,3,1,2267.72,-1.64369,-0.214483,-0.0150492,0.27908,0.000164953,9.95549e-05,49.9248,57.9303
-2267.82,0.974352,0.000560876,7,143,0,2273.62,-1.64838,-0.279864,0.00207978,0.279832,0.000163005,9.59103e-05,50.0104,57.9382
-2264.9,0.994641,0.00099003,3,7,0,2268.78,-1.64424,-0.280284,0.000470323,0.279552,0.000164726,9.58869e-05,50.0024,57.9353
-2262.22,0.99852,0.00110981,7,127,0,2265.76,-1.64141,-0.364937,-0.0302656,0.243372,0.000165902,9.11679e-05,49.8487,57.5554
-2262.89,0.995283,0.00116568,5,55,0,2265.12,-1.64094,-0.34504,-0.0153096,0.281738,0.000166097,9.22771e-05,49.9235,57.9583
-2248.94,0.981027,0.0027038,7,127,0,2265.4,-1.63205,-0.907581,0.0231497,0.0641083,0.000169796,6.09186e-05,50.1157,55.6731
-2248.94,1.56988e-06,0.00515793,3,9,1,2254.09,-1.63205,-0.907581,0.0231497,0.0641083,0.000169796,6.09186e-05,50.1157,55.6731
-2250.38,0.991148,0.000617516,5,63,0,2254.61,-1.62908,-0.897162,0.0410449,0.0567072,0.00017103,6.14994e-05,50.2052,55.5954
-2252,0.981784,0.000698971,6,79,0,2254.12,-1.62903,-0.909829,-0.00900953,0.0123734,0.000171049,6.07933e-05,49.955,55.1299
-2248.81,0.999997,0.00120822,6,63,0,2252.46,-1.62861,-0.948407,0.0178433,0.023898,0.000171225,5.86427e-05,50.0892,55.2509
-2246.7,0.99101,0.00189273,6,63,0,2250.31,-1.63842,-0.964979,-0.000872481,0.144629,0.000167145,5.77189e-05,49.9956,56.5186
-2246.19,0.872424,0.00228499,6,63,0,2248.86,-1.63718,-1.03797,-0.00370975,0.184365,0.000167661,5.36501e-05,49.9815,56.9358
-2247.04,0.957016,0.00419108,4,31,0,2249.26,-1.6322,-1.0442,-0.0327425,0.135255,0.000169732,5.33028e-05,49.8363,56.4202
-2245.14,0.99948,0.00277701,5,31,0,2247.43,-1.63303,-1.07268,-0.0114578,0.136147,0.000169386,5.1715e-05,49.9427,56.4295
