# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_model
# start_datetime = 2025-04-04 14:51:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 4
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_4.data.R
# init = 2 (Default)
# random
#   seed = 141761567 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-156221,0,0.00462343,0,1,1,156224,-1.23528,0.0399774,-1.39821,-1.18722,-0.882092,1.63279,-0.779197,0.191181,0.509994,0.150448,0.203196,51,41,335.721
-156221,0,1.91274,0,1,1,156226,-1.23528,0.0399774,-1.39821,-1.18722,-0.882092,1.63279,-0.779197,0.191181,0.509994,0.150448,0.203196,51,41,335.721
-156221,0,0.230593,0,1,1,156222,-1.23528,0.0399774,-1.39821,-1.18722,-0.882092,1.63279,-0.779197,0.191181,0.509994,0.150448,0.203196,51,41,335.721
-156221,0,0.0137448,0,1,1,156223,-1.23528,0.0399774,-1.39821,-1.18722,-0.882092,1.63279,-0.779197,0.191181,0.509994,0.150448,0.203196,51,41,335.721
-71534.7,1,0.000876649,2,3,0,151523,-1.23435,0.0399504,-1.39928,-1.3551,-0.883095,1.63166,-1.02852,0.191413,0.509988,0.15018,0.161224,51,41,267.156
-69974.3,1,0.000364244,1,1,0,71533.9,-1.23414,0.0400343,-1.39944,-1.35912,-0.883862,1.63057,-1.03403,0.191464,0.510009,0.15014,0.16022,51,41,265.641
-27683.7,1,0.00109984,6,63,0,66965.6,-1.23529,0.0392903,-1.40145,-1.48146,-0.884247,1.62995,-1.21681,0.191177,0.509823,0.149638,0.129634,51,41,215.376
-8585.67,1,0.000619304,4,15,0,27467.2,-1.23498,0.0354137,-1.40254,-1.58252,-0.885978,1.62656,-1.37033,0.191255,0.508853,0.149365,0.104371,51,41,173.158
-3250.33,1,0.00207893,5,31,0,8239.74,-1.23528,0.0360156,-1.40285,-1.64445,-0.885502,1.62853,-1.46149,0.191179,0.509004,0.149287,0.0888879,51,41,148.09
-2844.69,1,0.00228884,1,1,0,3229.24,-1.23544,0.0394406,-1.40159,-1.65142,-0.883038,1.6315,-1.47292,0.191139,0.50986,0.149602,0.0871438,51,41,144.947
-1487.67,1,0.00517278,1,1,0,2534.46,-1.23868,0.0420402,-1.40341,-1.68426,-0.882664,1.63835,-1.52335,0.19033,0.51051,0.149147,0.078935,51,41,131.079
-895.549,1,0.00661584,1,1,0,1344.23,-1.24009,0.0435618,-1.40688,-1.71016,-0.878674,1.63613,-1.56351,0.189979,0.51089,0.14828,0.0724605,51,41,120.034
-666.463,1,0.00847975,2,3,0,840.567,-1.24836,0.0484023,-1.40741,-1.72981,-0.900942,1.63866,-1.59747,0.187911,0.512101,0.148147,0.0675483,51,41,110.695
-661.182,0.261131,0.0225839,4,23,0,669.411,-1.15722,-0.16009,-1.37303,-1.73458,-0.68459,1.29704,-1.59275,0.210696,0.459978,0.156742,0.0663538,51,41,111.993
