# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_model
# start_datetime = 2025-04-04 14:51:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 2
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_2.data.R
# init = 2 (Default)
# random
#   seed = 141761548 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-37372.2,1,0.00218365,2,3,0,142988,1.37817,0.448362,-0.901508,-1.13913,-0.969635,-0.298105,-1.46544,0.844542,0.612091,0.274623,0.215217,51,41,147.004
-37372.2,0,11.6917,0,1,1,37377.1,1.37817,0.448362,-0.901508,-1.13913,-0.969635,-0.298105,-1.46544,0.844542,0.612091,0.274623,0.215217,51,41,147.004
-37372.2,0,0.999581,0,1,1,37375.7,1.37817,0.448362,-0.901508,-1.13913,-0.969635,-0.298105,-1.46544,0.844542,0.612091,0.274623,0.215217,51,41,147.004
-37372.2,0,0.118928,0,1,1,37376.9,1.37817,0.448362,-0.901508,-1.13913,-0.969635,-0.298105,-1.46544,0.844542,0.612091,0.274623,0.215217,51,41,147.004
-37372.2,0,0.00730473,0,1,1,37376.2,1.37817,0.448362,-0.901508,-1.13913,-0.969635,-0.298105,-1.46544,0.844542,0.612091,0.274623,0.215217,51,41,147.004
-33522.2,1,0.000852434,1,1,0,37210.8,1.37839,0.448648,-0.902353,-1.1561,-0.970688,-0.297488,-1.47911,0.844597,0.612162,0.274412,0.210974,51,41,143.245
-28785.1,1,0.00104195,1,1,0,33256.4,1.37863,0.448285,-0.90289,-1.17878,-0.971481,-0.298487,-1.49735,0.844657,0.612071,0.274278,0.205304,51,41,138.23
-25418.4,1,0.000984136,1,1,0,28630.5,1.37871,0.447707,-0.9026,-1.19618,-0.970779,-0.297837,-1.51156,0.844677,0.611927,0.27435,0.200956,51,41,134.321
-16136.7,1,0.00192948,1,1,0,24012.1,1.37794,0.448272,-0.900236,-1.25526,-0.968577,-0.296682,-1.55735,0.844486,0.612068,0.274941,0.186186,51,41,121.729
-6802.27,1,0.00302594,4,15,0,13961.5,1.37657,0.449781,-0.902111,-1.34609,-0.968997,-0.294642,-1.62844,0.844144,0.612445,0.274472,0.163477,51,41,102.179
