# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrNoTransport_model
# start_datetime = 2024-06-03 17:03:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 2
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_2.data.R
# init = 2 (Default)
# random
#   seed = 3862419333 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_f1,k_r1,T1_P,T1_X,theta.1,theta.2,theta.3,theta.4
-4142.25,1,0.00379925,1,1,0,7652.55,-1.61409,0.264833,-1.29749,0.101465,0.000177261,0.000126274,43.5126,56.0654
-4142.25,0,11.2309,0,1,1,4143.74,-1.61409,0.264833,-1.29749,0.101465,0.000177261,0.000126274,43.5126,56.0654
-4142.25,0,1.79081,0,1,1,4143.64,-1.61409,0.264833,-1.29749,0.101465,0.000177261,0.000126274,43.5126,56.0654
-4142.25,0,0.188874,0,1,1,4145.11,-1.61409,0.264833,-1.29749,0.101465,0.000177261,0.000126274,43.5126,56.0654
-4142.25,0,0.0119234,0,1,1,4144.14,-1.61409,0.264833,-1.29749,0.101465,0.000177261,0.000126274,43.5126,56.0654
-4128.5,1,0.000429158,3,7,0,4145.19,-1.61138,0.267357,-1.29697,0.103664,0.000178389,0.000126415,43.5151,56.0885
-4036.1,0.999303,0.000774452,3,7,0,4131.27,-1.58166,0.274641,-1.28597,0.104043,0.000190745,0.000126821,43.5701,56.0925
-3992.21,0.985369,0.00113553,3,7,0,4040.15,-1.57796,0.289356,-1.26896,0.110712,0.000192285,0.000127641,43.6552,56.1625
-3934.35,0.983314,0.00161921,3,7,0,3994.49,-1.58117,0.278562,-1.24588,0.11778,0.00019095,0.000127039,43.7706,56.2367
-3927.53,0.979659,0.00131089,3,7,0,3935.73,-1.57827,0.277818,-1.24362,0.122135,0.000192157,0.000126998,43.7819,56.2824
-3914.06,0.276569,0.00435765,2,3,0,3933.49,-1.59039,0.277109,-1.23574,0.121549,0.000187116,0.000126958,43.8213,56.2763
-3912.14,0.999932,0.000532552,3,7,0,3915,-1.58835,0.277665,-1.2358,0.121804,0.000187962,0.000126989,43.821,56.2789
-3854.8,0.999429,0.00043156,5,31,0,3917.55,-1.57371,0.256067,-1.21192,0.12855,0.000194052,0.000125785,43.9404,56.3498
-3814.9,1,0.00201716,2,3,0,3855.59,-1.58445,0.259639,-1.19655,0.128972,0.000189587,0.000125985,44.0173,56.3542
-3798.87,1,0.00160576,2,3,0,3816.42,-1.58397,0.257111,-1.19066,0.135361,0.000189786,0.000125844,44.0467,56.4213
-3798.87,0.671178,0.00483506,1,1,0,3800.09,-1.58397,0.257111,-1.19066,0.135361,0.000189786,0.000125844,44.0467,56.4213
-3798.82,0.873237,0.00288783,2,3,0,3803.25,-1.58094,0.261844,-1.19064,0.137605,0.000191044,0.000126107,44.0468,56.4449
-3781.48,1,0.00175472,2,3,0,3801.59,-1.58629,0.25715,-1.18474,0.145933,0.000188822,0.000125846,44.0763,56.5323
-2413.27,0.735893,0.00466383,4,15,0,3770.77,-1.6348,0.233822,-0.358279,0.389313,0.000168649,0.000124545,48.2086,59.0878
-2402.87,0.911416,0.00224036,2,3,0,2414.46,-1.63787,0.230999,-0.345095,0.394286,0.000167373,0.000124388,48.2745,59.14
-2379.06,0.983242,0.00452776,2,3,0,2402.99,-1.63801,0.222644,-0.312675,0.392847,0.000167314,0.000123922,48.4366,59.1249
-2366.24,0.334225,0.00736046,2,3,0,2378.79,-1.63821,0.218935,-0.293831,0.395368,0.000167232,0.000123716,48.5308,59.1514
-2357.47,0.968205,0.00141768,4,15,0,2368.3,-1.63765,0.21009,-0.28034,0.402556,0.000167464,0.000123223,48.5983,59.2268
-2356,0.921748,0.00342896,4,15,0,2360.62,-1.64286,0.207915,-0.277222,0.409177,0.000165298,0.000123101,48.6139,59.2964
-2354.1,0.831878,0.00397281,2,3,0,2359.11,-1.63926,0.214384,-0.275365,0.416901,0.000166794,0.000123462,48.6232,59.3775
-2310.5,1,0.0034295,4,15,0,2354.98,-1.6432,0.214865,-0.187363,0.413251,0.000165159,0.000123489,49.0632,59.3391
-2303.43,0.830834,0.00411393,3,7,0,2311.81,-1.64041,0.219109,-0.166543,0.408551,0.000166316,0.000123725,49.1673,59.2898
-2282.48,1,0.00351404,4,15,0,2305.9,-1.65047,0.267949,-0.0105389,0.417632,0.000162136,0.000126448,49.9473,59.3851
-2282.48,8.24557e-32,0.0067802,1,1,0,2286.3,-1.65047,0.267949,-0.0105389,0.417632,0.000162136,0.000126448,49.9473,59.3851
-2282.91,0.994822,0.000694526,4,15,0,2283.44,-1.6439,0.265168,-0.0143177,0.418783,0.000164867,0.000126293,49.9284,59.3972
-2284.21,0.998927,0.000918933,7,127,0,2288.36,-1.64317,0.198863,-0.0933917,0.403066,0.000165171,0.000122597,49.533,59.2322
-2283.82,0.999985,0.00174192,5,31,0,2284.63,-1.64618,0.196246,-0.0923472,0.397197,0.000163917,0.000122451,49.5383,59.1706
-2283.82,4.79213e-07,0.00538089,1,3,0,2287.6,-1.64618,0.196246,-0.0923472,0.397197,0.000163917,0.000122451,49.5383,59.1706
-2245.93,0.999825,0.000337582,10,1023,0,2289.23,-1.63654,-1.27957,0.0785423,0.0793856,0.000167928,4.01823e-05,50.3927,55.8335
-2242.56,0.999744,0.00071208,6,63,0,2246.67,-1.63568,-1.28989,0.0601106,0.0663805,0.000168286,3.96068e-05,50.3006,55.697
-2244.31,0.976928,0.00154162,5,47,0,2245.32,-1.62434,-1.28273,-0.0310575,0.00475783,0.000173,4.00061e-05,49.8447,55.05
-2240.71,0.999974,0.00188057,4,31,0,2246.06,-1.62905,-1.29516,-0.00607839,0.0122486,0.000171042,3.93131e-05,49.9696,55.1286
-2241.11,0.999833,0.00318232,5,31,0,2241.55,-1.63065,-1.27561,0.0408255,0.0194612,0.000170377,4.04032e-05,50.2041,55.2043
-2241.11,0.00113854,0.00576967,1,3,0,2242.46,-1.63065,-1.27561,0.0408255,0.0194612,0.000170377,4.04032e-05,50.2041,55.2043
-2240.3,0.996105,0.000712231,7,127,0,2241.87,-1.63052,-1.28645,0.0349473,0.0304326,0.000170428,3.97988e-05,50.1747,55.3195
-2239.22,0.984922,0.00114436,5,63,0,2242.16,-1.63508,-1.30846,0.0283155,0.0646476,0.000168532,3.8572e-05,50.1416,55.6788
-2240.96,0.98217,0.00104666,4,23,0,2241.7,-1.63155,-1.30345,0.0444724,0.0674489,0.000169999,3.88513e-05,50.2224,55.7082
-2241.79,0.995053,0.000958181,6,127,0,2243.95,-1.63779,-1.25345,-0.035911,0.133246,0.000167406,4.16381e-05,49.8204,56.3991
