x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
48.0,55.0,0.00546951,0.0216125,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.13993,0.00188707,15.0,450.0,12599.0,226.0
48.0,55.0,0.0056332,0.0202815,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.05063,0.00177388,15.0,450.0,12599.0,226.0
48.0,55.0,0.00564036,0.0199952,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.05518,0.00172798,15.0,450.0,12599.0,226.0
48.0,55.0,0.005646,0.0201812,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.03594,0.0017548,15.0,450.0,12599.0,226.0
48.0,55.0,0.00525309,0.0232709,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.35916,0.00245739,15.0,450.0,12599.0,226.0
48.0,55.0,0.0052957,0.023214,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.34247,0.00242941,15.0,450.0,12599.0,226.0
48.0,55.0,0.00608228,0.0174332,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.95577,0.00215704,15.0,450.0,12599.0,226.0
48.0,55.0,0.00609976,0.017941,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.97245,0.00212419,15.0,450.0,12599.0,226.0
48.0,55.0,0.00575332,0.0191809,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.05135,0.00195925,15.0,450.0,12599.0,226.0
48.0,55.0,0.00578414,0.0178741,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.928526,0.00151128,15.0,450.0,12599.0,226.0
48.0,55.0,0.00561957,0.0204606,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.11108,0.00204447,15.0,450.0,12599.0,226.0
48.0,55.0,0.0056107,0.0204446,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.11112,0.00204757,15.0,450.0,12599.0,226.0
48.0,55.0,0.00569803,0.0196533,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.03074,0.00174586,15.0,450.0,12599.0,226.0
48.0,55.0,0.00562646,0.0188787,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00888,0.00175609,15.0,450.0,12599.0,226.0
48.0,55.0,0.00562119,0.0217377,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.22212,0.00247789,15.0,450.0,12599.0,226.0
48.0,55.0,0.00558638,0.0196212,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.01741,0.00154416,15.0,450.0,12599.0,226.0
48.0,55.0,0.00558093,0.0195926,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00364,0.00155156,15.0,450.0,12599.0,226.0
48.0,55.0,0.00567776,0.0198114,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.0819,0.00207322,15.0,450.0,12599.0,226.0
48.0,55.0,0.00564281,0.019405,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.07136,0.00210612,15.0,450.0,12599.0,226.0
48.0,55.0,0.00552213,0.0207766,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.09259,0.00185225,15.0,450.0,12599.0,226.0
48.0,55.0,0.00552266,0.0207156,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.09656,0.0018691,15.0,450.0,12599.0,226.0
48.0,55.0,0.00555779,0.0204392,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.11419,0.00193014,15.0,450.0,12599.0,226.0
48.0,55.0,0.0055594,0.0204645,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.10165,0.00196411,15.0,450.0,12599.0,226.0
48.0,55.0,0.00552843,0.0218732,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.22946,0.00239623,15.0,450.0,12599.0,226.0
48.0,55.0,0.00550194,0.0210024,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.17605,0.00214718,15.0,450.0,12599.0,226.0
48.0,55.0,0.00562101,0.0180873,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.91628,0.00126078,15.0,450.0,12599.0,226.0
48.0,55.0,0.00558551,0.017748,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.903292,0.00121641,15.0,450.0,12599.0,226.0
48.0,55.0,0.00590803,0.0175628,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.91299,0.0015568,15.0,450.0,12599.0,226.0
48.0,55.0,0.00578849,0.016998,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.851901,0.00114761,15.0,450.0,12599.0,226.0
48.0,55.0,0.00582287,0.0173489,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.89022,0.00144655,15.0,450.0,12599.0,226.0
48.0,55.0,0.00582384,0.0172048,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.89765,0.00154528,15.0,450.0,12599.0,226.0
48.0,55.0,0.00584986,0.0173802,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.899938,0.00154235,15.0,450.0,12599.0,226.0
48.0,55.0,0.00586652,0.0173251,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.931607,0.00152638,15.0,450.0,12599.0,226.0
48.0,55.0,0.00579235,0.0184474,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.986702,0.00160072,15.0,450.0,12599.0,226.0
48.0,55.0,0.00579426,0.0186044,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.977899,0.00160244,15.0,450.0,12599.0,226.0
48.0,55.0,0.00590334,0.016744,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.889653,0.00153144,15.0,450.0,12599.0,226.0
48.0,55.0,0.00594002,0.0173736,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.912945,0.00157868,15.0,450.0,12599.0,226.0
48.0,55.0,0.00574609,0.0176181,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.886478,0.001354,15.0,450.0,12599.0,226.0
48.0,55.0,0.00564218,0.018226,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.926372,0.00144298,15.0,450.0,12599.0,226.0
48.0,55.0,0.00553993,0.0214499,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.20185,0.00228475,15.0,450.0,12599.0,226.0
48.0,55.0,0.00545567,0.0213762,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.17003,0.00201671,15.0,450.0,12599.0,226.0
48.0,55.0,0.0054451,0.0204154,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.14795,0.00208833,15.0,450.0,12599.0,226.0
48.0,55.0,0.00539653,0.0207357,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.16986,0.00205502,15.0,450.0,12599.0,226.0
48.0,55.0,0.00542632,0.020998,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.16558,0.00208884,15.0,450.0,12599.0,226.0
48.0,55.0,0.00555154,0.0210732,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.14696,0.0020852,15.0,450.0,12599.0,226.0
48.0,55.0,0.00553121,0.0213137,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.20702,0.0022934,15.0,450.0,12599.0,226.0
48.0,55.0,0.00550413,0.0218407,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.22518,0.00219507,15.0,450.0,12599.0,226.0
48.0,55.0,0.005508,0.0218792,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.23064,0.00218913,15.0,450.0,12599.0,226.0
48.0,55.0,0.00546999,0.0202376,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.0741,0.00179466,15.0,450.0,12599.0,226.0
48.0,55.0,0.00548733,0.0200173,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.08828,0.00184979,15.0,450.0,12599.0,226.0
48.0,55.0,0.0055313,0.0202885,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.09173,0.00175436,15.0,450.0,12599.0,226.0
48.0,55.0,0.00571555,0.0194245,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.04536,0.00190553,15.0,450.0,12599.0,226.0
48.0,55.0,0.00576432,0.0195237,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.03209,0.00192768,15.0,450.0,12599.0,226.0
48.0,55.0,0.00562446,0.0188762,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.02745,0.00181788,15.0,450.0,12599.0,226.0
48.0,55.0,0.00559247,0.020411,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.06712,0.00159123,15.0,450.0,12599.0,226.0
48.0,55.0,0.00558105,0.0205454,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.05915,0.00163062,15.0,450.0,12599.0,226.0
48.0,55.0,0.00546044,0.0201561,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.13176,0.00209631,15.0,450.0,12599.0,226.0
48.0,55.0,0.00566289,0.0213077,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.16198,0.00209847,15.0,450.0,12599.0,226.0
48.0,55.0,0.00536111,0.0217326,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.18783,0.00196239,15.0,450.0,12599.0,226.0
48.0,55.0,0.00559062,0.0195524,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.04254,0.001747,15.0,450.0,12599.0,226.0
48.0,55.0,0.00570483,0.0197036,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.07438,0.00210353,15.0,450.0,12599.0,226.0
48.0,55.0,0.00566995,0.019815,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.06025,0.00191196,15.0,450.0,12599.0,226.0
