x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
48.0,55.0,0.0113879,0.0180015,0.0774151,0.452104,1.36334,1.19897,1.27336,0.0150362,0.940541,-0.00101815,15.0,704.462,19640.1,192.1
48.0,55.0,0.00810903,0.0179668,0.0662559,0.493825,1.17233,0.946617,1.05591,0.0125262,0.896348,0.00116951,15.0,638.57,15050.7,174.893
48.0,55.0,0.00837009,0.0184189,0.061349,0.502814,0.849326,0.837424,0.831539,0.0117591,1.18852,0.000793151,15.0,697.438,23046.8,238.897
48.0,55.0,0.00663558,0.0179486,0.0325862,0.401116,1.26492,1.16208,0.977129,0.0109164,1.41493,0.00427535,15.0,652.935,8923.61,204.568
48.0,55.0,0.0086822,0.0181997,0.0477414,0.504861,0.59364,0.818976,0.61787,0.00801034,0.71925,0.00099594,15.0,458.542,21392.8,318.371
48.0,55.0,0.0089315,0.0178259,0.0474138,0.533329,1.49333,0.890802,0.81527,0.00700477,1.04444,-7.35435e-5,15.0,683.397,24394.6,228.293
48.0,55.0,0.00915703,0.0176292,0.0452719,0.409652,0.742857,0.923937,1.07157,0.00887267,0.970005,-0.000235667,15.0,883.608,21989.4,192.768
48.0,55.0,0.00689547,0.0188032,0.0629742,0.184745,1.98881,0.616527,0.776156,0.00920347,0.947052,0.00521185,15.0,487.737,11335.1,167.455
48.0,55.0,0.00652304,0.0188192,0.0736775,0.0371158,1.70462,0.778712,0.831124,0.00772317,0.860926,0.00552606,15.0,502.173,14840.5,143.669
48.0,55.0,0.00512478,0.0184045,0.0700777,0.459566,1.295,0.609457,1.57213,0.00990021,1.43191,0.00121449,15.0,736.785,22813.4,137.44
48.0,55.0,0.00646304,0.0183518,0.072982,0.465018,1.84722,-0.00592012,0.774982,0.00523742,0.718542,0.000238967,15.0,548.998,28008.1,156.454
48.0,55.0,0.00691193,0.0180732,0.0628896,0.426149,1.66492,0.22997,0.806911,0.004508,1.18813,0.000946035,15.0,559.177,30973.8,183.324
48.0,55.0,0.00844432,0.0185379,0.026589,0.117839,0.801451,1.73324,0.889507,0.00716666,0.62291,0.00269054,15.0,782.137,11636.5,182.629
48.0,55.0,0.00543421,0.0184162,0.0597034,0.307089,0.993072,0.0869139,1.55699,0.0121218,0.996901,0.000566069,15.0,931.794,16806.3,118.652
48.0,55.0,0.0073331,0.0187884,0.0351251,0.524223,1.20306,0.970888,0.580688,0.00907356,0.853487,0.00431721,15.0,475.047,13447.6,313.676
48.0,55.0,0.00878143,0.0178764,0.0586055,0.69365,1.45746,0.538784,1.02924,0.00572412,1.21193,0.000791827,15.0,383.989,16455.7,216.914
48.0,55.0,0.00595281,0.0184027,0.0548018,0.0977476,1.63334,1.4308,1.04715,0.0162184,1.16419,0.0024727,15.0,406.225,4374.47,156.957
48.0,55.0,0.00336792,0.0184191,0.0562892,0.0169444,1.45401,1.53472,0.986867,0.0133864,1.30579,0.00258767,15.0,381.133,4245.74,125.182
48.0,55.0,0.00867758,0.0183209,0.045304,0.404718,0.89984,0.945366,0.689237,0.00983232,1.25857,0.00424612,15.0,563.138,14821.0,269.954
48.0,55.0,0.00779221,0.0179389,0.0413783,0.254706,0.858242,0.610055,1.05374,0.00367734,1.16434,0.000455921,15.0,594.082,24783.5,181.244
