x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
48.0,55.0,0.00587597,0.0191895,0.0689724,0.385028,1.55074,1.34443,0.432781,0.00777181,0.422662,0.00209178,15.0,151.313,12044.2,437.299
48.0,55.0,0.00756083,0.0183863,0.0375105,0.216193,0.626748,1.056,1.07812,0.00637856,0.817705,0.00294849,15.0,232.08,15324.1,364.712
48.0,55.0,0.00740062,0.0185873,0.0378216,0.83548,1.21341,0.562415,0.559326,0.00589804,1.23172,0.00215614,15.0,278.178,15404.2,448.461
48.0,55.0,0.00773539,0.0185898,0.04626,0.353989,0.976775,1.31192,1.45064,0.0100646,0.937804,0.00184124,15.0,236.809,22472.8,442.577
48.0,55.0,0.00769314,0.0186694,0.0564058,0.446289,0.906143,0.377577,0.849085,0.00688733,1.35998,0.00323842,15.0,176.433,17555.6,467.937
48.0,55.0,0.00640219,0.0189925,0.0305507,0.535308,0.846044,0.662572,1.80296,0.00762856,0.692939,0.00280428,15.0,279.074,18765.5,323.581
48.0,55.0,0.00752466,0.0186377,0.0599818,0.597995,1.91228,0.749567,0.923613,0.0128167,1.28195,0.00334479,15.0,179.464,11280.6,459.074
48.0,55.0,0.00611272,0.018055,0.0294426,0.207017,0.645679,1.58654,0.872289,0.00415009,0.770071,0.00206062,15.0,413.559,17609.0,246.108
48.0,55.0,0.00726078,0.0183509,0.0206257,0.456796,0.733239,0.658137,1.36987,0.00878568,1.64489,0.00217713,15.0,636.952,17403.8,318.885
48.0,55.0,0.00901308,0.0183242,0.00831954,0.311411,1.22885,1.39355,0.787206,0.00256214,0.872113,0.00362677,15.0,531.118,16197.8,408.951
48.0,55.0,0.00860198,0.018363,0.0146283,0.307316,0.973886,1.01392,0.473144,0.00165994,0.871063,0.00463912,15.0,316.941,16730.8,425.237
48.0,55.0,0.0105795,0.0182727,0.0231747,0.140127,1.08767,1.14404,0.750472,0.00220918,1.51935,0.00417129,15.0,211.47,14969.6,437.475
48.0,55.0,0.0105161,0.0184054,0.0216959,0.199985,0.796937,0.848207,0.970216,0.0043838,1.75147,0.00431893,15.0,266.104,15390.7,496.373
48.0,55.0,0.0107927,0.0183221,0.0204877,0.19275,0.748443,0.874808,0.99857,0.00478183,1.65523,0.00439925,15.0,260.662,15151.9,523.855
48.0,55.0,0.00943775,0.0183997,0.0102539,0.265206,0.841281,0.897037,0.862606,0.00349329,1.13869,0.0020366,15.0,437.478,15680.7,474.204
48.0,55.0,0.00503645,0.0186268,0.0469458,0.688493,1.16059,0.954773,1.86116,0.0138404,1.0482,0.00185776,15.0,585.178,15446.8,176.606
