x1,x2,x3,x4
0.000168675,6.12683e-7,50.2309,55.0184
0.000168533,7.15852e-7,50.2323,55.0275
0.000168954,2.5014e-7,50.2596,55.0759
0.000168999,5.2801e-7,50.2535,55.0935
0.000169132,3.20263e-7,50.2628,55.1329
0.000169128,4.68737e-7,50.2657,55.1701
0.00016918,9.89781e-8,50.2598,55.2279
0.000169102,2.35328e-7,50.2607,55.2286
0.000169102,2.35328e-7,50.2607,55.2286
0.000168876,5.50891e-7,50.2553,55.2723
0.000168876,5.50891e-7,50.2553,55.2723
0.000170015,2.0585e-6,50.1912,54.8088
0.000168776,2.1549e-6,50.2241,54.9461
0.000168868,2.10195e-6,50.223,54.944
0.000169806,5.34258e-6,50.2654,55.1549
0.000168807,2.3635e-6,50.2259,55.2303
0.00016879,3.05652e-6,50.2412,55.2224
0.000168708,3.01191e-6,50.2069,55.0218
0.000168962,2.6162e-6,50.1474,55.0226
0.000169736,3.6316e-6,50.3023,55.2596
0.0001692,2.6535e-6,50.2782,55.3213
0.000169302,3.78581e-6,50.2648,55.0809
0.000169024,2.89383e-6,50.2724,55.1142
0.00016922,4.74648e-6,50.2747,55.1083
0.0001692,5.40012e-6,50.2787,55.1703
0.000168984,5.5258e-6,50.2797,55.0428
0.000170752,5.06828e-6,50.2385,54.7114
0.000170447,4.11033e-6,50.2479,54.8843
0.000170614,5.90108e-6,50.3206,54.5573
0.000170714,5.60193e-6,50.2416,54.8721
0.000170963,5.77036e-6,50.2586,54.754
0.000171287,4.10448e-6,50.2762,54.7649
0.000169361,6.24869e-6,50.2484,54.4083
0.000170015,3.61718e-6,50.2284,54.5025
0.000169281,4.90963e-6,50.2349,54.8586
0.000168416,4.26364e-6,50.2103,54.8075
0.000168464,5.48559e-6,50.2053,54.9588
0.000168062,2.70287e-6,50.2107,54.9112
0.000168301,2.39394e-6,50.2307,54.9101
0.000167605,1.78285e-6,50.2353,54.9464
0.00016785,1.97706e-6,50.2394,55.0367
0.000167826,2.46086e-6,50.2301,55.0383
0.000171536,6.69451e-6,50.1014,54.7491
0.000171213,6.19357e-6,50.263,54.7072
0.000171428,5.39024e-6,50.2378,54.8076
0.000170083,3.88112e-6,50.1019,54.4832
0.000169133,3.67439e-6,50.0751,54.6728
0.000169638,2.49952e-6,50.0696,54.8573
0.000169072,2.46506e-6,50.0735,54.8007
0.000171075,4.59459e-6,50.0607,54.9507
0.000169644,7.33148e-6,49.9793,54.8617
0.00016913,6.25836e-6,49.9397,54.7244
0.000169574,1.83933e-6,49.931,54.8951
0.000169393,1.30904e-6,49.9316,54.7736
0.000169336,7.82823e-7,49.9265,54.7769
0.000169341,1.60603e-7,49.9232,54.9326
0.000169727,3.4205e-7,49.8797,54.7772
0.000169727,3.4205e-7,49.8797,54.7772
0.000170192,3.66242e-7,49.8904,54.7437
0.000170374,1.33426e-6,49.878,54.615
0.000170211,1.71971e-6,49.8752,54.6412
0.000170248,1.50709e-6,49.8742,54.6427
0.000170733,9.47642e-7,49.8665,54.4132
0.0001704,6.28751e-7,49.9152,55.1748
0.000170477,5.10786e-7,49.9106,55.1572
0.000169913,4.07833e-7,49.9066,55.2342
0.000170066,6.15884e-7,49.9086,55.2496
0.000170242,8.62483e-7,49.9181,55.2275
0.00016983,3.77189e-7,49.9155,55.2254
0.000169838,3.29307e-7,49.9277,55.136
0.00017007,1.60116e-7,49.919,55.1087
0.00017007,1.60116e-7,49.919,55.1087
0.00017007,1.60116e-7,49.919,55.1087
0.000170128,4.88128e-7,49.9166,55.1149
0.000169627,5.89829e-7,49.934,55.184
0.000170491,1.50844e-6,49.9643,55.3432
0.00017047,1.73837e-6,49.9663,55.2614
0.000170412,1.78538e-6,49.9926,55.2139
0.000170252,1.75947e-6,49.9966,55.1429
0.000170081,1.83768e-6,50.0,55.1152
0.000170121,2.65761e-6,50.0008,55.1004
0.000167721,6.48124e-6,49.9364,55.4718
0.000168338,4.65002e-6,50.1838,55.3958
0.000168396,3.37988e-6,50.1821,55.3751
0.000169123,3.0152e-6,50.1961,55.7053
0.000167928,1.79191e-6,49.9812,55.3891
0.000167657,1.20159e-6,50.0064,55.4417
