,0
0,374.69924084481755
1,387.9354110094958
2,658.5025145256726
3,473.61883735808607
4,434.26089774312356
5,197.01444448911747
6,361.91369521392863
7,430.50932382759606
8,525.5756529676604
9,664.237018926823
10,724.3980490809181
11,481.9077407321047
12,358.7859092872972
13,641.5939715851563
14,334.7151866731144
15,521.036739077485
16,441.8622138977669
17,340.5774524734411
18,598.5943542726928
19,449.59632548138853
20,512.0759816650416
21,238.54013209136698
22,609.066616080085
23,1069.9891497219232
24,457.465552610633
25,441.8622138977669
26,309.55588832984483
27,473.61883735808607
28,218.6820860060231
29,548.8692796915468
30,563.3373341785087
31,477.7453444004625
32,453.51390302034025
33,573.1936426188092
34,558.4728264166228
35,281.3528433668124
36,832.1782462212282
37,419.44756976719816
38,749.9596313758399
39,365.0686836982116
40,481.9077407321047
41,763.0763211109312
42,434.26089774312356
43,539.4306291154872
44,220.5914104400936
45,269.39486564644807
46,401.6380893151758
47,578.1861824803888
48,573.1936426188092
49,334.7151866731144
50,374.69924084481755
51,213.05231431027784
52,525.5756529676604
53,306.8795320426976
54,507.65346612597597
55,521.036739077485
56,548.8692796915468
57,598.5943542726928
58,296.40287948109767
59,469.52791013697214
60,405.13856517713293
61,711.9454882220613
62,498.92250301398354
63,498.92250301398354
64,352.6110088742717
65,193.61704150069846
66,583.2221442540717
67,274.1160207142163
68,415.82371923211406
69,810.8157885940319
70,260.19434015409155
71,391.316712841969
72,441.8622138977669
73,320.4961076681203
74,445.7125261954996
75,1136.9090202164703
76,498.92250301398354
77,312.25552070173035
78,724.3980490809181
79,481.9077407321047
80,211.20798853524016
81,699.7067448951027
82,361.91369521392863
83,573.1936426188092
84,246.97749118229933
85,578.1861824803888
86,588.3019056170132
87,675.8560877534043
88,477.7453444004625
89,271.74522288636007
90,334.7151866731144
91,573.1936426188092
92,711.9454882220613
93,553.6502621450787
94,371.4612168137697
95,377.9654262690124
96,430.50932382759606
97,693.6664049768266
98,419.44756976719816
99,534.7722531341542
100,293.83992740957973
101,525.5756529676604
102,412.2311141850827
103,652.8174554619158
104,328.9535741626705
105,271.74522288636007
106,947.7263631525325
107,343.5468787107619
108,534.7722531341542
109,647.1814153760887
110,705.7996203282827
111,349.5634313105846
112,371.4612168137697
113,711.9454882220613
114,636.0547050508027
115,469.52791013697214
116,481.9077407321047
117,264.7547694240703
118,769.7203510358398
119,365.0686836982116
120,521.036739077485
121,293.83992740957973
122,438.0450998348116
123,304.22625113374573
124,481.9077407321047
125,306.8795320426976
126,609.066616080085
127,891.9340102602004
128,884.2361918423952
129,516.53696113106
130,412.2311141850827
131,563.3373341785087
132,486.1063385127195
133,387.9354110094958
134,512.0759816650416
135,573.1936426188092
136,343.5468787107619
137,306.8795320426976
138,391.316712841969
139,317.72542526961644
140,664.237018926823
141,687.6781475679288
142,195.30838869607777
143,426.7900967402351
144,408.66948520079035
145,670.0213987332278
146,846.7313470237042
147,331.82190748045645
148,490.3414526171175
149,426.7900967402351
150,244.8406754411978
151,304.22625113374573
152,419.44756976719816
153,915.4315119337451
154,412.2311141850827
155,306.8795320426976
156,884.2361918423952
157,412.2311141850827
158,625.1190456338943
159,507.65346612597597
160,306.8795320426976
161,323.29088658713107
162,473.61883735808607
163,358.7859092872972
164,197.01444448911747
165,368.2511113441694
166,670.0213987332278
167,267.0647727379252
168,352.6110088742717
169,687.6781475679288
170,664.237018926823
171,236.47606062293815
172,481.9077407321047
173,534.7722531341542
174,230.39000809017492
175,384.5832632025598
176,304.22625113374573
177,391.316712841969
178,481.9077407321047
179,641.5939715851563
180,412.2311141850827
181,398.1677950993044
182,326.1099716149077
183,340.5774524734411
184,234.42978487964712
185,269.39486564644807
186,972.6923322161974
187,438.0450998348116
188,583.2221442540717
189,469.52791013697214
190,423.1029375590631
191,699.7067448951027
192,301.5958466271053
193,222.51733941315254
194,253.50008573570122
195,972.6923322161974
196,846.7313470237042
197,412.2311141850827
198,469.52791013697214
199,323.29088658713107
200,776.4221672764974
201,365.0686836982116
202,453.51390302034025
203,343.5468787107619
204,377.9654262690124
205,331.82190748045645
206,724.3980490809181
207,352.6110088742717
208,309.55588832984483
209,352.6110088742717
210,964.2981714333725
211,238.54013209136698
212,854.1029662639436
213,687.6781475679288
214,343.5468787107619
215,490.3414526171175
216,301.5958466271053
217,469.52791013697214
218,242.72228269014843
219,408.66948520079035
220,343.5468787107619
221,283.80719697364185
222,323.29088658713107
223,743.4859878538613
224,438.0450998348116
225,240.62215406998834
226,1060.7560401533083
227,915.4315119337451
228,314.9786316106054
229,240.62215406998834
230,453.51390302034025
231,477.7453444004625
232,286.2828957153321
233,964.2981714333725
234,521.036739077485
235,1069.9891497219232
236,334.7151866731144
237,320.4961076681203
238,846.7313470237042
239,286.2828957153321
240,381.2600180301641
241,647.1814153760887
242,931.4391053556566
243,769.7203510358398
244,498.92250301398354
245,486.1063385127195
246,355.68509135448716
247,776.4221672764974
248,756.4895792194882
249,884.2361918423952
250,278.9196508385417
251,490.3414526171175
252,391.316712841969
253,494.6134006588433
254,298.9881212626267
255,449.59632548138853
256,278.9196508385417
257,915.4315119337451
258,343.5468787107619
259,891.9340102602004
260,445.7125261954996
261,705.7996203282827
262,530.1540432001277
263,490.3414526171175
264,301.5958466271053
265,743.4859878538613
266,776.4221672764974
267,281.3528433668124
268,598.5943542726928
269,352.6110088742717
270,358.7859092872972
271,516.53696113106
272,394.72742227753
273,337.6336287164396
274,670.0213987332278
275,705.7996203282827
276,426.7900967402351
277,434.26089774312356
278,312.25552070173035
279,737.0681631502548
280,503.26908284520135
281,598.5943542726928
282,465.47225593760555
283,718.1448094965622
284,274.1160207142163
285,521.036739077485
286,306.8795320426976
287,473.61883735808607
288,358.7859092872972
289,371.4612168137697
290,240.62215406998834
291,593.4258475313304
292,548.8692796915468
293,477.7453444004625
294,563.3373341785087
295,539.4306291154872
296,641.5939715851563
297,281.3528433668124
298,355.68509135448716
299,343.5468787107619
300,1033.5316509150623
301,525.5756529676604
302,209.37956364433313
303,276.5074369196151
304,276.5074369196151
305,331.82190748045645
306,365.0686836982116
307,374.69924084481755
308,769.7203510358398
309,260.19434015409155
310,641.5939715851563
311,457.465552610633
312,445.7125261954996
313,331.82190748045645
314,377.9654262690124
315,340.5774524734411
316,283.80719697364185
317,276.5074369196151
318,469.52791013697214
319,525.5756529676604
320,603.8078134591229
321,352.6110088742717
322,609.066616080085
323,387.9354110094958
324,346.5421301152361
325,346.5421301152361
326,681.7415235690654
327,301.5958466271053
328,419.44756976719816
329,264.7547694240703
330,349.5634313105846
331,309.55588832984483
332,465.47225593760555
333,371.4612168137697
334,457.465552610633
335,891.9340102602004
336,365.0686836982116
337,453.51390302034025
338,426.7900967402351
339,337.6336287164396
340,869.0391067212151
341,891.9340102602004
342,598.5943542726928
343,521.036739077485
344,365.0686836982116
345,588.3019056170132
346,286.2828957153321
347,387.9354110094958
348,512.0759816650416
349,401.6380893151758
350,408.66948520079035
351,306.8795320426976
352,317.72542526961644
353,490.3414526171175
354,588.3019056170132
355,583.2221442540717
356,343.5468787107619
357,260.19434015409155
358,521.036739077485
359,609.066616080085
360,368.2511113441694
361,641.5939715851563
362,346.5421301152361
363,408.66948520079035
364,803.8174135251357
365,705.7996203282827
366,419.44756976719816
367,481.9077407321047
368,226.41958992973224
369,412.2311141850827
370,349.5634313105846
371,374.69924084481755
372,998.3154122079877
373,630.5632003480091
374,453.51390302034025
375,238.54013209136698
376,884.2361918423952
377,260.19434015409155
378,473.61883735808607
379,412.2311141850827
380,636.0547050508027
381,328.9535741626705
382,763.0763211109312
383,293.83992740957973
384,473.61883735808607
385,503.26908284520135
386,445.7125261954996
387,675.8560877534043
388,340.5774524734411
389,394.72742227753
390,1098.1731127435444
391,323.29088658713107
392,530.1540432001277
393,278.9196508385417
394,699.7067448951027
395,907.5310854355431
396,412.2311141850827
397,306.8795320426976
398,331.82190748045645
399,534.7722531341542
400,340.5774524734411
401,423.1029375590631
402,213.05231431027784
403,419.44756976719816
404,658.5025145256726
405,264.7547694240703
406,193.61704150069846
407,334.7151866731144
408,803.8174135251357
409,609.066616080085
410,724.3980490809181
411,251.30703399197768
412,498.92250301398354
413,743.4859878538613
414,337.6336287164396
415,534.7722531341542
416,548.8692796915468
417,521.036739077485
418,312.25552070173035
419,352.6110088742717
420,876.6047481088333
421,636.0547050508027
422,578.1861824803888
423,214.91267927351268
424,507.65346612597597
425,583.2221442540717
426,675.8560877534043
427,636.0547050508027
428,323.29088658713107
429,296.40287948109767
430,1069.9891497219232
431,306.8795320426976
432,291.2990728468685
433,521.036739077485
434,652.8174554619158
435,453.51390302034025
436,465.47225593760555
437,405.13856517713293
438,486.1063385127195
439,328.9535741626705
440,401.6380893151758
441,271.74522288636007
442,415.82371923211406
443,434.26089774312356
444,687.6781475679288
445,312.25552070173035
446,334.7151866731144
447,312.25552070173035
448,832.1782462212282
449,457.465552610633
450,355.68509135448716
451,473.61883735808607
452,358.7859092872972
453,401.6380893151758
454,323.29088658713107
455,699.7067448951027
456,394.72742227753
457,1098.1731127435444
458,539.4306291154872
459,283.80719697364185
460,387.9354110094958
461,899.6987806786517
462,224.46001734953015
463,306.8795320426976
464,907.5310854355431
465,340.5774524734411
466,306.8795320426976
467,573.1936426188092
468,884.2361918423952
469,358.7859092872972
470,381.2600180301641
471,603.8078134591229
472,434.26089774312356
