# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompReprFP_OED1_Try1_model
# start_datetime = 2024-08-12 17:18:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED1_Try1_1.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED1_Try1_1.init.R
# random
#   seed = 1321360753 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED1_Try1_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,ki,kr,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-158.165,0.990381,0.00731576,4,31,0,158.381,0.0654544,-0.610314,0.161251,-0.749237,48,55,0.00568,0.0191082,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.02659,0.00181361,15,450,12599,226
-158.165,0,0.672834,0,1,1,158.408,0.0654544,-0.610314,0.161251,-0.749237,48,55,0.00568,0.0191082,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.02659,0.00181361,15,450,12599,226
-158.165,0,0.274133,0,1,1,159.714,0.0654544,-0.610314,0.161251,-0.749237,48,55,0.00568,0.0191082,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.02659,0.00181361,15,450,12599,226
-158.073,0.996812,0.0179351,5,39,0,158.299,0.0359706,-0.524501,0.298517,-0.641401,48,55,0.00559892,0.0202881,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.0918,0.00196997,15,450,12599,226
-160.671,0.328063,0.0198495,2,3,0,161.968,0.00148981,-0.579163,0.312,-0.638078,48,55,0.0055041,0.0195365,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.0982,0.00197479,15,450,12599,226
-159.632,0.996891,0.00266396,4,31,0,163.66,0.0225936,-0.559251,0.323068,-0.653496,48,55,0.00556213,0.0198103,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.10346,0.00195243,15,450,12599,226
-158.266,0.993905,0.00504562,4,31,0,161.473,0.0153887,-0.511251,0.311719,-0.66224,48,55,0.00554232,0.0204703,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.09807,0.00193975,15,450,12599,226
-159.448,0.955509,0.00661989,5,39,0,161.563,0.0358773,-0.5796,0.295812,-0.621718,48,55,0.00559866,0.0195305,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.09051,0.00199851,15,450,12599,226
-159.615,0.999882,0.00857335,6,79,0,160.205,-0.0520304,-0.437797,0.506733,-0.578089,48,55,0.00535692,0.0214803,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.1907,0.00206177,15,450,12599,226
-159.31,0.999803,0.0107866,6,63,0,160.957,-0.029259,-0.36274,0.621897,-0.458356,48,55,0.00541954,0.0225123,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.2454,0.00223538,15,450,12599,226
