# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompReprFP_ID1_Try1_model
# start_datetime = 2024-08-13 07:41:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_ID1_Try1_3.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_ID1_Try1_3.init.R
# random
#   seed = 1373177680 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_ID1_Try1_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,ki,kr,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-10983.1,0.545092,0.000860175,4,19,0,10984.8,-1.9991,-1.99844,-1.99778,-1.99765,48,55,2.46928e-06,2.14505e-05,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.00105379,3.41257e-06,15,450,12599,226
-10983.1,0,0.60592,0,1,1,10983.6,-1.9991,-1.99844,-1.99778,-1.99765,48,55,2.46928e-06,2.14505e-05,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.00105379,3.41257e-06,15,450,12599,226
-10983.1,0,0.068628,0,1,1,10986,-1.9991,-1.99844,-1.99778,-1.99765,48,55,2.46928e-06,2.14505e-05,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.00105379,3.41257e-06,15,450,12599,226
-10983.1,6.09278e-74,0.00570803,1,1,0,10985.4,-1.9991,-1.99844,-1.99778,-1.99765,48,55,2.46928e-06,2.14505e-05,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.00105379,3.41257e-06,15,450,12599,226
-9506.03,0.737248,0.000310808,5,31,0,10965.8,-1.90615,-1.90988,-2.00792,-2.00713,48,55,0.000258099,0.00123911,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.00376386,-1.0334e-05,15,450,12599,226
-9500.21,0.997255,0.000118328,3,7,0,9508.57,-1.90681,-1.91005,-2.00759,-2.00708,48,55,0.000256277,0.00123676,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.00360644,-1.0265e-05,15,450,12599,226
-9445.28,1,0.000252126,5,31,0,9504.05,-1.91127,-1.91675,-1.9979,-2.00597,48,55,0.000243998,0.00114473,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.000996764,-8.6493e-06,15,450,12599,226
-9439.91,0.999224,0.000311812,4,15,0,9447.11,-1.91318,-1.91565,-1.99484,-2.00425,48,55,0.000238761,0.00115983,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.00245054,-6.16286e-06,15,450,12599,226
-9421.9,0.990326,0.000432883,4,15,0,9441.66,-1.91233,-1.91416,-1.98512,-2.00435,48,55,0.000241094,0.00118026,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.00706623,-6.30586e-06,15,450,12599,226
-9404.93,0.977962,0.000787367,3,7,0,9423.42,-1.91274,-1.9095,-1.97625,-2.00351,48,55,0.00023996,0.00124433,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0112835,-5.09395e-06,15,450,12599,226
