# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompReprFP_ID1_Try1_model
# start_datetime = 2024-08-13 07:41:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 2
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_ID1_Try1_2.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_ID1_Try1_2.init.R
# random
#   seed = 1373177684 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_ID1_Try1_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,ki,kr,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-9477.86,0.583064,0.000473831,5,39,0,10941.1,-1.90824,-1.91018,-2.00325,-1.99448,48,55,0.000252348,0.00123504,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.00154608,8.00607e-06,15,450,12599,226
-9477.86,0,0.348672,0,1,1,9482.75,-1.90824,-1.91018,-2.00325,-1.99448,48,55,0.000252348,0.00123504,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.00154608,8.00607e-06,15,450,12599,226
-9477.86,0,0.0592897,0,1,1,9478.62,-1.90824,-1.91018,-2.00325,-1.99448,48,55,0.000252348,0.00123504,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.00154608,8.00607e-06,15,450,12599,226
-9477.86,0,0.00597771,0,1,1,9482.43,-1.90824,-1.91018,-2.00325,-1.99448,48,55,0.000252348,0.00123504,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.00154608,8.00607e-06,15,450,12599,226
-9454.21,1,0.00024538,4,15,0,9480.24,-1.90989,-1.91227,-1.99906,-1.99598,48,55,0.000247805,0.00120635,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.000445182,5.83284e-06,15,450,12599,226
-9434,0.99895,0.000473313,3,7,0,9455.88,-1.91118,-1.91453,-1.99196,-1.99706,48,55,0.000244256,0.00117516,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.00381864,4.25826e-06,15,450,12599,226
-9418.34,0.984807,0.000390435,4,15,0,9436.09,-1.91342,-1.91302,-1.98287,-1.9998,48,55,0.000238087,0.00119604,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.00813808,2.92093e-07,15,450,12599,226
-9413.43,0.998685,0.000485853,3,7,0,9419,-1.91132,-1.91343,-1.98075,-1.99985,48,55,0.000243858,0.00119033,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.00914291,2.18169e-07,15,450,12599,226
-9410.94,0.985022,0.00050444,3,7,0,9414.29,-1.90993,-1.91263,-1.97974,-1.99957,48,55,0.000247701,0.0012013,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.00962533,6.22365e-07,15,450,12599,226
-9391.75,0.616268,0.00192943,2,3,0,9412.42,-1.90543,-1.91479,-1.96997,-1.99972,48,55,0.000260075,0.00117166,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0142626,4.08826e-07,15,450,12599,226
-9370.26,0.982871,0.000895299,3,7,0,9393.02,-1.90536,-1.91205,-1.9579,-2.00295,48,55,0.000260247,0.00120929,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0199992,-4.2703e-06,15,450,12599,226
-9355.14,0.973399,0.00129119,2,3,0,9371.5,-1.90232,-1.91149,-1.95012,-2.00119,48,55,0.000268607,0.00121707,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0236911,-1.73095e-06,15,450,12599,226
-9352.94,0.52408,0.00171346,3,7,0,9358.38,-1.90429,-1.90966,-1.94827,-2.00399,48,55,0.000263196,0.00124222,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0245729,-5.78967e-06,15,450,12599,226
-9332.7,0.9967,0.000355428,5,31,0,9355.6,-1.89877,-1.91255,-1.9384,-1.99809,48,55,0.000278373,0.00120242,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0292621,2.77317e-06,15,450,12599,226
-9303.68,0.990852,0.00066097,3,7,0,9333.45,-1.89402,-1.9109,-1.92327,-2.00064,48,55,0.000291449,0.0012251,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0364444,-9.22433e-07,15,450,12599,226
-9296.83,0.747109,0.00178942,2,3,0,9306.15,-1.893,-1.90855,-1.91872,-2.00026,48,55,0.000294243,0.00125742,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0386079,-3.81516e-07,15,450,12599,226
-9294.17,1,0.00107453,2,3,0,9297.14,-1.89216,-1.90946,-1.91789,-2,48,55,0.000296567,0.00124488,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.039,4.3119e-09,15,450,12599,226
-9277.04,0.867508,0.00110718,3,7,0,9296.99,-1.88988,-1.91148,-1.90976,-2.00589,48,55,0.000302819,0.00121713,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0428634,-8.54755e-06,15,450,12599,226
-9277.04,0.00487175,0.00294265,1,1,0,9278.44,-1.88988,-1.91148,-1.90976,-2.00589,48,55,0.000302819,0.00121713,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0428634,-8.54755e-06,15,450,12599,226
-9260.31,0.999746,0.000135517,5,31,0,9277.7,-1.88677,-1.9105,-1.90128,-2.00656,48,55,0.000311369,0.00123068,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0468914,-9.51008e-06,15,450,12599,226
