# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompRepr_ID2_Try1_model
# start_datetime = 2024-08-20 17:45:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_ID2_Try1_3.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_ID2_Try1_3.init.R
# random
#   seed = 2014190431 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_ID2_Try1_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,kbn,kun,kbp,kup,kunE,kbnE,ki,kr,NADH,NAD,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-310.141,0.997647,0.00283792,10,1023,0,313.096,-0.410522,-0.629829,0.137299,-0.552537,-0.0909206,-0.716191,0.123441,-1.12283,0.711033,-1.09579,0.940824,-0.828415,-1.62023,48,55,0.00437106,0.0188399,0.0480892,0.325679,0.906813,0.609809,1.00863,0.00372796,1.28774,0.00131111,15,894.614,10698.1,104.436
-310.141,0,1.04068,0,1,1,316.554,-0.410522,-0.629829,0.137299,-0.552537,-0.0909206,-0.716191,0.123441,-1.12283,0.711033,-1.09579,0.940824,-0.828415,-1.62023,48,55,0.00437106,0.0188399,0.0480892,0.325679,0.906813,0.609809,1.00863,0.00372796,1.28774,0.00131111,15,894.614,10698.1,104.436
-310.141,0,0.161731,0,1,1,316.67,-0.410522,-0.629829,0.137299,-0.552537,-0.0909206,-0.716191,0.123441,-1.12283,0.711033,-1.09579,0.940824,-0.828415,-1.62023,48,55,0.00437106,0.0188399,0.0480892,0.325679,0.906813,0.609809,1.00863,0.00372796,1.28774,0.00131111,15,894.614,10698.1,104.436
-310.141,1.71762e-158,0.0126164,1,1,0,320.045,-0.410522,-0.629829,0.137299,-0.552537,-0.0909206,-0.716191,0.123441,-1.12283,0.711033,-1.09579,0.940824,-0.828415,-1.62023,48,55,0.00437106,0.0188399,0.0480892,0.325679,0.906813,0.609809,1.00863,0.00372796,1.28774,0.00131111,15,894.614,10698.1,104.436
-312.598,0.999959,0.00119141,10,1023,0,317.656,-0.358437,-0.616515,1.54608,1.26562,-0.65621,-1.41033,-0.21673,-0.947685,0.210581,-1.96046,0.309695,-0.70673,-1.61914,48,55,0.0045143,0.0190229,0.0797868,0.734765,0.6383,0.280095,0.847053,0.00447234,1.05003,5.73388e-05,15,730.521,11476.9,104.738
-310.177,0.954792,0.00139774,10,1023,0,320.224,-0.137061,-0.648466,1.32476,1.05959,-0.56923,-0.82148,-0.424304,-0.662413,0.0739396,-1.69986,0.0515376,-0.0113168,-1.51809,48,55,0.00512308,0.0185836,0.0748072,0.688409,0.679616,0.559797,0.748456,0.00568474,0.985121,0.000435199,15,663.4,15927.6,132.525
-310.354,0.90305,0.00192413,10,1023,0,318.926,0.289391,-0.655375,-0.19367,-0.831725,0.40056,0.272695,0.586729,-0.568688,-0.305552,0.613622,-1.71747,-0.195802,-0.828467,48,55,0.00629583,0.0184886,0.0406424,0.262862,1.14027,1.07953,1.2287,0.00608308,0.804863,0.00378975,15,203.459,14746.9,322.171
-313.032,0.997538,0.00183874,10,1023,0,317.894,0.349512,-0.666544,0.131853,-1.15814,-0.44336,-0.4673,0.742182,-0.708693,-0.412712,0.751924,-1.87143,0.298783,-0.678796,48,55,0.00646116,0.018335,0.0479667,0.189419,0.739404,0.728033,1.30254,0.00548806,0.753962,0.00399029,15,163.429,17912.2,363.331
-313.761,0.999946,0.00176657,10,1023,0,319.204,0.491624,-0.696091,0.099105,1.09096,1.04957,-1.0787,0.99633,1.06414,0.445425,0.522218,-1.75401,-0.866284,-0.611174,48,55,0.00685197,0.0179287,0.0472299,0.695467,1.44855,0.437619,1.42326,0.0130226,1.16158,0.00365722,15,193.958,10455.8,381.927
-310.453,0.986408,0.0027671,10,1023,0,321.344,0.228928,-0.671642,0.831139,-1.27497,0.212122,0.545237,-0.437122,-0.333753,-0.655724,-0.451245,-1.92392,-0.45171,-0.591122,48,55,0.00612955,0.0182649,0.0637006,0.163132,1.05076,1.20899,0.742367,0.00708155,0.638531,0.00224569,15,149.781,13109.1,387.441
-310.657,0.988442,0.00559029,9,1023,0,313.636,1.03334,-0.626074,-0.758396,-0.561839,0.5005,-0.00465527,1.06261,0.259384,0.117099,-0.521354,-1.62987,-0.213242,-0.247441,48,55,0.00834169,0.0188915,0.0279361,0.323586,1.18774,0.947789,1.45474,0.00960238,1.00562,0.00214404,15,226.233,14635.2,481.954
-313.711,0.0874822,0.0121488,2,7,1,318.357,1.03034,-0.60292,-0.75024,-0.547496,0.496848,-0.0196181,1.06595,0.263061,0.127907,-0.53123,-1.63401,-0.19988,-0.237446,48,55,0.00833344,0.0192098,0.0281196,0.326813,1.186,0.940681,1.45633,0.00961801,1.01076,0.00212972,15,225.158,14720.8,484.702
-308.179,0.999968,0.000538207,10,1023,0,317.994,0.973879,-0.653554,-1.04857,-0.633099,-0.166813,0.150699,1.36469,0.18567,0.0432835,-0.577444,-1.32123,-0.13604,-0.395562,48,55,0.00817817,0.0185136,0.0214071,0.307553,0.870764,1.02158,1.59823,0.0092891,0.97056,0.00206271,15,306.481,15129.3,441.221
-309.278,0.999467,0.000827402,10,1023,0,313.197,0.210338,-0.639915,-0.712168,-0.633479,0.22079,0.351753,0.0733368,-0.228424,0.316539,-0.584907,-1.09294,-0.882743,-1.00512,48,55,0.00607843,0.0187012,0.0289762,0.307467,1.05488,1.11708,0.984835,0.0075292,1.10036,0.00205188,15,365.837,10350.4,273.592
-308.174,0.998326,0.0029546,9,1023,0,317.826,0.588897,-0.679821,-0.386953,-0.478086,-0.229162,-0.509049,-0.18839,-0.408932,-0.199583,-0.474862,-1.64896,-0.903899,-0.691088,48,55,0.00711947,0.0181525,0.0362936,0.342431,0.841148,0.708202,0.860515,0.00676204,0.855198,0.00221145,15,221.271,10215,359.951
-313.116,0.988725,0.00239978,10,1023,0,315.784,0.093048,-0.683719,0.495984,-0.558324,0.269597,1.17379,-1.13249,-0.418106,-0.0900633,-1.56374,-1.10204,-1.33714,-1.23868,48,55,0.00575588,0.0180989,0.0561596,0.324377,1.07806,1.50755,0.412065,0.00672305,0.90722,0.000632573,15,363.47,7442.31,209.362
-317.646,0.747472,0.00621455,9,511,0,322.077,-0.0535548,-0.619431,2.10738,0.548839,1.18878,2.09349,0.110175,-0.439596,-0.510488,-0.715472,-0.993872,0.145936,-1.45239,48,55,0.00535272,0.0189828,0.092416,0.573489,1.51467,1.94441,1.00233,0.00663172,0.707518,0.00186257,15,391.593,16934,150.593
-313.215,0.949595,0.0051369,7,251,1,325.706,-0.156513,-0.640304,1.42626,-0.034716,1.12975,1.54423,0.564378,-1.05023,-0.992889,-0.913089,-1.36133,0.608689,-1.48095,48,55,0.00506959,0.0186958,0.0770908,0.442189,1.48663,1.68351,1.21808,0.00403654,0.478378,0.00157602,15,296.055,19895.6,142.739
-312.822,0.0779487,0.00787877,4,22,1,317.701,-0.157729,-0.644762,1.42833,-0.0371533,1.12978,1.54071,0.550404,-1.04248,-1.00123,-0.905003,-1.36993,0.600695,-1.47536,48,55,0.00506625,0.0186345,0.0771374,0.441641,1.48665,1.68184,1.21144,0.00406945,0.474416,0.00158775,15,293.818,19844.4,144.276
-313.044,0.99998,0.000773709,10,1023,0,316.758,-0.209925,-0.643207,0.716963,-0.235112,1.61567,1.62875,0.955023,-1.20712,-1.08972,-0.866839,-1.24347,0.241229,-1.53571,48,55,0.00492271,0.0186559,0.0611317,0.3971,1.71745,1.72366,1.40364,0.00336974,0.432384,0.00164308,15,326.697,17543.9,127.68
-313.549,0.985864,0.000825771,10,1023,0,320.768,-0.188863,-0.672258,0.91687,-0.28085,2.08506,0.970122,0.996993,-0.785583,-0.0667973,-0.574341,-1.12585,-0.256363,-1.50235,48,55,0.00498063,0.0182565,0.0656296,0.386809,1.9404,1.41081,1.42357,0.00516127,0.918271,0.00206721,15,357.28,14359.3,136.852
-314.7,0.969247,0.00199346,10,1023,0,321.925,-0.204228,-0.667467,-0.207008,-1.47536,0.719618,1.53165,-0.561719,-1.20731,0.386308,-1.59232,0.602807,-1.14021,-1.59102,48,55,0.00493837,0.0183223,0.0403423,0.118044,1.29182,1.67753,0.683183,0.00336892,1.1335,0.000591131,15,806.73,8702.65,112.47
-309.474,0.996902,0.00192875,10,1023,0,318.618,-0.15599,-0.64736,0.950696,0.92542,-0.662969,-0.787166,-1.11424,-0.814873,0.234496,-1.6392,0.160246,-0.637173,-1.46318,48,55,0.00507103,0.0185988,0.0663907,0.658219,0.63509,0.576096,0.420734,0.00503679,1.06139,0.000523166,15,691.664,11922.1,147.626
-310.419,0.978842,0.00530929,9,1023,0,313.572,-0.0795022,-0.66819,0.127909,-0.972825,0.429276,0.493637,-1.55769,-1.69956,0.504582,-1.1029,-1.05825,0.295594,-1.31783,48,55,0.00528137,0.0183124,0.0478779,0.231114,1.15391,1.18448,0.210099,0.00127688,1.18968,0.00130079,15,374.855,17891.8,187.596
