# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompRepr_OED3_Try1_model
# start_datetime = 2024-08-30 14:53:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED3_Try1_3.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED3_Try1_3.init.R
# random
#   seed = 2867878827 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED3_Try1_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,kbn,kun,kbp,kup,kunE,kbnE,ki,kr,NADH,NAD,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-1448.25,0,0.00808018,0,1,1,1453.75,0.15986,-0.658837,0.968817,-0.863689,0.814348,3.64127,1.82812,0.922536,-0.207901,-0.330155,-1.40579,-0.107128,-1.19411,48,55,0.00593961,0.018441,0.0667984,0.25567,1.33682,2.6796,1.81836,0.0124208,0.851247,0.00242128,15,284.494,15314.4,221.62
-1448.25,0,0.22307,0,1,1,1453.33,0.15986,-0.658837,0.968817,-0.863689,0.814348,3.64127,1.82812,0.922536,-0.207901,-0.330155,-1.40579,-0.107128,-1.19411,48,55,0.00593961,0.018441,0.0667984,0.25567,1.33682,2.6796,1.81836,0.0124208,0.851247,0.00242128,15,284.494,15314.4,221.62
-1448.25,0,0.0174162,0,1,1,1456.28,0.15986,-0.658837,0.968817,-0.863689,0.814348,3.64127,1.82812,0.922536,-0.207901,-0.330155,-1.40579,-0.107128,-1.19411,48,55,0.00593961,0.018441,0.0667984,0.25567,1.33682,2.6796,1.81836,0.0124208,0.851247,0.00242128,15,284.494,15314.4,221.62
-737.229,0.935517,0.000769938,4,15,0,1442.84,0.181428,-0.668382,0.953023,-0.850343,0.799771,3.65015,1.83054,0.926674,-0.191935,-0.339426,-1.4421,-0.102917,-1.27261,48,55,0.00599893,0.0183097,0.066443,0.258673,1.32989,2.68382,1.81951,0.0124384,0.858831,0.00240783,15,275.054,15341.3,200.032
-726.21,1,0.000529034,6,63,0,741.953,0.181095,-0.670123,0.956713,-0.848864,0.801132,3.65011,1.83101,0.928176,-0.191558,-0.345001,-1.44432,-0.101687,-1.27795,48,55,0.00599801,0.0182858,0.0665261,0.259006,1.33054,2.6838,1.81973,0.0124447,0.85901,0.00239975,15,274.476,15349.2,198.563
-659.495,1,0.000797131,5,31,0,731.394,0.192912,-0.675011,0.978858,-0.864856,0.814297,3.64925,1.83802,0.925978,-0.193468,-0.354514,-1.40368,-0.110166,-1.31737,48,55,0.00603051,0.0182186,0.0670243,0.255407,1.33679,2.6834,1.82306,0.0124354,0.858103,0.00238595,15,285.043,15294.9,187.722
-640.477,0.999423,0.000861165,4,15,0,663.749,0.204922,-0.662138,0.981414,-0.86782,0.82103,3.63985,1.83445,0.928901,-0.202897,-0.350746,-1.38771,-0.111131,-1.31564,48,55,0.00606354,0.0183956,0.0670818,0.254741,1.33999,2.67893,1.82136,0.0124478,0.853624,0.00239142,15,289.196,15288.8,188.2
-559.761,1,0.00255193,5,63,0,645.982,0.656029,-0.768072,1.17189,-0.801274,0.855582,3.62945,2.05834,0.562918,-0.0442772,-0.546269,-0.933493,-0.396399,-1.41636,48,55,0.00730408,0.016939,0.0713676,0.269713,1.3564,2.67399,1.92771,0.0108924,0.928968,0.00210791,15,407.292,13463,160.501
-519.33,0.836731,0.00402717,4,15,0,566.468,0.571988,-0.617266,1.12101,-0.809769,0.824417,3.6381,2.01661,0.570848,-0.0592737,-0.557939,-1.01486,-0.382961,-1.4112,48,55,0.00707297,0.0190126,0.0702227,0.267802,1.3416,2.6781,1.90789,0.0109261,0.921845,0.00209099,15,386.136,13549,161.921
-489.856,1,0.00379271,5,31,0,522.915,0.501451,-0.68207,1.11139,-0.792413,0.821029,3.62495,1.91984,0.653634,-0.0624695,-0.564377,-1.07536,-0.31653,-1.37689,48,55,0.00687899,0.0181215,0.0700063,0.271707,1.33999,2.67185,1.86193,0.0112779,0.920327,0.00208165,15,370.405,13974.2,171.354
-481.696,0.971174,0.0025671,9,1023,0,493.566,0.541348,-0.687676,-0.284338,-0.335502,1.41184,2.16615,1.1965,0.456497,0.145806,-1.24331,-0.526211,-0.0338111,-1.27052,48,55,0.00698871,0.0180445,0.0386024,0.374512,1.62063,1.97892,1.51834,0.0104401,1.01926,0.0010972,15,513.185,15783.6,200.608
