# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompReprFP_OED4_Try1_model
# start_datetime = 2024-08-14 15:38:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 4
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED4_Try1_4.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED4_Try1_4.init.R
# random
#   seed = 1488197765 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED4_Try1_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,ki,kr,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-644.915,0.994161,0.00431253,4,23,0,646.609,0.117532,-0.670851,0.0279069,-0.789727,48,55,0.00582321,0.0182758,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.963256,0.0017549,15,450,12599,226
-644.915,0,0.949484,0,1,1,645.77,0.117532,-0.670851,0.0279069,-0.789727,48,55,0.00582321,0.0182758,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.963256,0.0017549,15,450,12599,226
-644.915,0,0.16816,0,1,1,646.222,0.117532,-0.670851,0.0279069,-0.789727,48,55,0.00582321,0.0182758,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.963256,0.0017549,15,450,12599,226
-644.915,1.22876e-16,0.0224076,1,1,0,647.354,0.117532,-0.670851,0.0279069,-0.789727,48,55,0.00582321,0.0182758,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.963256,0.0017549,15,450,12599,226
-646.022,0.990152,0.00151734,5,47,0,647.256,0.126143,-0.681079,-0.00427711,-0.767999,48,55,0.00584689,0.0181352,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.947968,0.0017864,15,450,12599,226
-645.155,0.999946,0.000750445,5,63,0,646.448,0.124757,-0.690126,-0.00418575,-0.769476,48,55,0.00584308,0.0180108,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.948012,0.00178426,15,450,12599,226
-645.357,0.999639,0.000950378,6,127,0,646.506,0.121079,-0.695392,0.00186625,-0.763688,48,55,0.00583297,0.0179384,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.950886,0.00179265,15,450,12599,226
-651.179,0.989702,0.00247059,6,127,0,653.611,0.0500811,-0.658467,-0.0249273,-0.974436,48,55,0.00563772,0.0184461,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.93816,0.00148707,15,450,12599,226
-651.017,0.993899,0.00292956,4,15,0,652.181,0.077697,-0.66048,-0.0170585,-0.987547,48,55,0.00571367,0.0184184,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.941897,0.00146806,15,450,12599,226
-651.89,0.979316,0.00303716,6,79,0,654.351,0.131304,-0.695032,0.111242,-0.583657,48,55,0.00586109,0.0179433,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00284,0.0020537,15,450,12599,226
