# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompRepr_ID1_Try1_model
# start_datetime = 2024-08-16 16:43:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 4
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_ID1_Try1_4.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_ID1_Try1_4.init.R
# random
#   seed = 1664904536 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_ID1_Try1_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,kbn,kun,kbp,kup,kunE,kbnE,ki,kr,NADH,NAD,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-158.123,0.989948,0.00588679,8,511,0,162.954,0.275242,-0.66328,-0.385854,-1.3199,0.40529,-0.399153,-0.0118972,0.00373658,0.11268,-0.120809,-1.63491,0.595737,-0.98219,48,55,0.00625691,0.0183799,0.0363183,0.153023,1.14251,0.760402,0.944349,0.00851588,1.00352,0.00272483,15,224.925,19812.7,279.898
-158.123,0,1.68583,0,1,1,164.761,0.275242,-0.66328,-0.385854,-1.3199,0.40529,-0.399153,-0.0118972,0.00373658,0.11268,-0.120809,-1.63491,0.595737,-0.98219,48,55,0.00625691,0.0183799,0.0363183,0.153023,1.14251,0.760402,0.944349,0.00851588,1.00352,0.00272483,15,224.925,19812.7,279.898
-158.123,0,0.101533,0,1,1,166.259,0.275242,-0.66328,-0.385854,-1.3199,0.40529,-0.399153,-0.0118972,0.00373658,0.11268,-0.120809,-1.63491,0.595737,-0.98219,48,55,0.00625691,0.0183799,0.0363183,0.153023,1.14251,0.760402,0.944349,0.00851588,1.00352,0.00272483,15,224.925,19812.7,279.898
-158.123,0.122536,0.0195116,2,5,1,164.114,0.275242,-0.66328,-0.385854,-1.3199,0.40529,-0.399153,-0.0118972,0.00373658,0.11268,-0.120809,-1.63491,0.595737,-0.98219,48,55,0.00625691,0.0183799,0.0363183,0.153023,1.14251,0.760402,0.944349,0.00851588,1.00352,0.00272483,15,224.925,19812.7,279.898
-163.245,0.994983,0.00135304,10,1023,0,168.022,1.06547,-0.582634,0.19622,0.195633,-0.853284,-0.513821,-0.297721,-0.660725,0.336022,-0.0978311,-1.53502,-0.713913,-0.107477,48,55,0.00843005,0.0194888,0.0494149,0.494017,0.54469,0.705935,0.808582,0.00569192,1.10961,0.00275814,15,250.895,11431,520.444
-162.174,0.997567,0.00235356,10,1023,0,173.089,0.198717,-0.608636,-1.30307,-0.316609,2.55713,-0.878272,-0.735465,-0.124253,0.0501783,-0.0778736,0.0742888,0.86066,-1.15881,48,55,0.00604647,0.0191313,0.0156809,0.378763,2.16464,0.532821,0.600654,0.00797193,0.973835,0.00278708,15,669.315,21508.2,231.326
-159.447,0.998078,0.00281343,10,1023,0,165.812,1.42221,-0.639978,-1.5701,-0.255143,0.655376,0.677047,0.0499554,-0.29967,0.734997,-0.335586,-0.00143038,0.694777,-0.0879259,48,55,0.00941108,0.0187003,0.00967286,0.392593,1.2613,1.2716,0.973729,0.0072264,1.29912,0.0024134,15,649.628,20446.6,525.82
-159.561,0.989205,0.00434849,10,1023,0,162.505,1.24278,-0.71775,-1.74414,0.272784,1.28707,-0.163075,0.213376,0.446214,0.101172,-0.865026,1.05845,-0.342875,-0.569056,48,55,0.00891765,0.0176309,0.00575678,0.511376,1.56136,0.872539,1.05135,0.0103964,0.998057,0.00164571,15,925.196,13805.6,393.51
-159.736,0.230893,0.00587883,5,63,0,164.696,1.21666,-0.721977,-1.74154,0.302496,1.28341,-0.148276,0.190424,0.462211,0.0987884,-0.85789,1.04962,-0.331667,-0.561067,48,55,0.00884581,0.0175728,0.0058154,0.518062,1.55962,0.879569,1.04045,0.0104644,0.996924,0.00165606,15,922.9,13877.3,395.706
-159.759,0.999694,0.000574553,10,1023,0,164.251,1.16123,-0.670918,-1.75145,0.406775,0.904804,0.0187071,0.238869,-0.0698414,0.0565768,-0.854759,0.910723,-0.366139,-0.257574,48,55,0.00869338,0.0182749,0.00559229,0.541524,1.37978,0.958886,1.06346,0.00820317,0.976874,0.0016606,15,886.788,13656.7,479.167
-159.411,0.999694,0.00115296,10,1023,0,163.572,1.27256,-0.738362,-1.76202,0.157438,0.701819,0.0148258,0.550227,-0.0704903,0.0103314,-1.17057,0.997139,-0.307474,-0.372489,48,55,0.00899954,0.0173475,0.0053546,0.485424,1.28336,0.957042,1.21136,0.00820042,0.954907,0.00120267,15,909.256,14032.2,447.565
-158.998,0.986949,0.00136602,10,1023,0,165.576,1.27416,-0.737175,-1.80225,-0.0566667,0.711343,-0.232872,0.342365,-0.430068,-0.325074,-1.38535,0.721387,-0.407926,-0.471501,48,55,0.00900393,0.0173638,0.00444928,0.43725,1.28789,0.839386,1.11262,0.00667221,0.79559,0.000891248,15,837.561,13389.3,420.337
-160.155,0.838418,0.00216202,10,1023,0,165.851,0.83509,-0.671017,-1.38421,-0.353568,-0.024747,-0.0749494,-0.226316,0.0642683,-1.07229,-1.13471,0.359887,1.37822,-1.08394,48,55,0.0077965,0.0182735,0.0138552,0.370447,0.938245,0.914399,0.8425,0.00877314,0.440664,0.00125466,15,743.571,24820.6,251.917
-163.077,0.994888,0.00234962,10,1023,0,165.801,1.58958,-0.765886,-0.636372,0.424353,1.41404,1.43365,0.231925,0.783419,0.790774,-1.27035,-1.00426,0.612458,-0.14131,48,55,0.00987133,0.0169691,0.0306816,0.545479,1.62167,1.63098,1.06016,0.0118295,1.32562,0.00105799,15,388.893,19919.7,511.14
-161.1,0.971792,0.00353596,10,1023,0,169.272,0.125228,-0.637997,-0.856902,-0.868196,-0.641207,-0.693452,1.01816,0.545785,-0.806773,-0.836336,-0.991396,1.08024,-1.22304,48,55,0.00584438,0.0187275,0.0257197,0.254656,0.645427,0.62061,1.43363,0.0108196,0.566783,0.00168731,15,392.237,22913.5,213.663
-162.945,0.977134,0.00534991,9,511,0,168.177,-0.0327394,-0.702728,-1.49425,-1.36057,0.398877,0.169272,1.50156,0.162681,-0.214547,-0.503162,-0.528559,-1.51037,-1.34973,48,55,0.00540997,0.0178375,0.0113794,0.143871,1.13947,1.0304,1.66324,0.0091914,0.84809,0.00217041,15,512.575,6333.62,178.824
-161.979,0.868509,0.00702613,8,511,0,171.2,1.22903,-0.634144,0.47016,-0.281188,-0.629918,-1.33765,-1.18328,0.414611,-0.426596,-1.59781,-1.43615,1.29161,-0.687179,48,55,0.00887983,0.0187805,0.0555786,0.386733,0.650789,0.314618,0.387943,0.0102621,0.747367,0.000583177,15,276.601,24266.3,361.026
-159.982,0.945917,0.010034,8,255,0,167.571,0.45658,-0.753556,0.402909,0.0460762,1.55256,0.567304,0.445749,-0.398807,-0.482594,-1.39352,-1.76359,-0.154666,-0.654912,48,55,0.0067556,0.0171386,0.0540654,0.460367,1.68747,1.21947,1.16173,0.00680507,0.720768,0.000879392,15,191.467,15010.1,369.899
