# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompRepr_OED3_Try2_model
# start_datetime = 2024-09-27 16:11:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 800
#     num_warmup = 400
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 8
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED3_Try2_8.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED3_Try2_8.init.R
# random
#   seed = 996810281 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED3_Try2_samples_8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,kbn,kun,kbp,kup,kunE,kbnE,ki,kr,NADH,NAD,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-469.499,0.977973,0.00223135,10,1023,0,474.726,0.362451,-0.688852,-0.813298,0.606649,-1.10114,-1.48384,-1.17329,-1.18932,1.07367,-0.355232,-0.233154,-0.987522,-1.12513,48,55,0.00649674,0.0180283,0.0267008,0.586496,0.426957,0.245177,0.392687,0.00344539,1.45999,0.00238491,15,589.38,9679.86,240.589
-469.499,0,1.10788,0,1,1,475.566,0.362451,-0.688852,-0.813298,0.606649,-1.10114,-1.48384,-1.17329,-1.18932,1.07367,-0.355232,-0.233154,-0.987522,-1.12513,48,55,0.00649674,0.0180283,0.0267008,0.586496,0.426957,0.245177,0.392687,0.00344539,1.45999,0.00238491,15,589.38,9679.86,240.589
-469.499,0,0.158788,0,1,1,479.311,0.362451,-0.688852,-0.813298,0.606649,-1.10114,-1.48384,-1.17329,-1.18932,1.07367,-0.355232,-0.233154,-0.987522,-1.12513,48,55,0.00649674,0.0180283,0.0267008,0.586496,0.426957,0.245177,0.392687,0.00344539,1.45999,0.00238491,15,589.38,9679.86,240.589
-469.499,7.52502e-85,0.00946334,1,1,0,472.893,0.362451,-0.688852,-0.813298,0.606649,-1.10114,-1.48384,-1.17329,-1.18932,1.07367,-0.355232,-0.233154,-0.987522,-1.12513,48,55,0.00649674,0.0180283,0.0267008,0.586496,0.426957,0.245177,0.392687,0.00344539,1.45999,0.00238491,15,589.38,9679.86,240.589
-471.348,0.994632,0.00102247,10,1023,0,477.028,0.523653,-0.698816,-1.06216,0.788088,-0.858456,-1.43033,-0.67376,-1.19744,0.87536,-0.00159489,-0.223709,-0.72666,-1.1037,48,55,0.00694005,0.0178913,0.0211014,0.62732,0.542233,0.270591,0.629964,0.00341086,1.3658,0.00289769,15,591.836,11349.4,246.484
-469.904,0.976813,0.00158992,7,255,0,475.902,0.5615,-0.699802,-1.13987,0.831453,-0.892916,-1.49558,-0.692269,-1.19748,0.886075,-0.0309847,-0.297348,-0.757175,-1.05626,48,55,0.00704412,0.0178777,0.0193528,0.637077,0.525865,0.239598,0.621172,0.0034107,1.37089,0.00285507,15,572.69,11154.1,259.527
-470.27,0.961217,0.00133679,10,1023,0,478.853,0.299375,-0.667829,-1.11676,0.657902,-0.649492,-0.657902,-0.713201,-0.461682,-0.0900035,-0.468075,0.6188,-1.15291,-1.16421,48,55,0.00632328,0.0183173,0.0198729,0.598028,0.641491,0.637496,0.611229,0.00653785,0.907248,0.00222129,15,810.888,8621.37,229.841
-465.951,0.988904,0.00103891,10,1023,0,474.728,0.223918,-0.675687,-1.17604,0.539919,-0.237196,-0.628696,-0.650999,-0.569001,0.0390076,-0.526067,0.270538,-1.23929,-1.16976,48,55,0.00611578,0.0182093,0.0185391,0.571482,0.837332,0.65137,0.640775,0.00608175,0.968529,0.0021372,15,720.34,8068.53,228.317
-468.999,0.831488,0.00296576,7,255,0,472.225,0.331164,-0.686825,-1.0929,0.46975,-0.283137,-0.341326,-0.450558,-0.554781,0.0500551,-0.267682,0.434058,-0.823675,-1.16542,48,55,0.0064107,0.0180562,0.0204098,0.555694,0.81551,0.78787,0.735985,0.00614218,0.973776,0.00251186,15,762.855,10728.5,229.508
-468.889,0.986697,0.00270736,10,1023,0,480.298,0.0895458,-0.647354,-0.0112875,1.04851,0.138457,0.501612,-0.818442,0.240704,-0.217086,-1.06339,-0.418838,-0.921008,-1.18662,48,55,0.00574625,0.0185989,0.044746,0.685915,1.01577,1.18827,0.56124,0.00952299,0.846884,0.00135808,15,541.102,10105.5,223.68
