# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompReprFP_OED1_Try1_model
# start_datetime = 2024-08-12 17:18:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 4
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED1_Try1_4.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED1_Try1_4.init.R
# random
#   seed = 1321360753 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED1_Try1_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,ki,kr,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-161.806,0.998925,0.00288307,8,383,0,162.593,0.023212,-0.430529,0.705535,-0.0290133,48,55,0.00556383,0.0215802,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.28513,0.00285793,15,450,12599,226
-160.607,0.999856,0.00546745,5,47,0,162.486,0.0440392,-0.358937,0.738972,-0.0995844,48,55,0.00562111,0.0225646,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.30101,0.0027556,15,450,12599,226
-161.122,0.998782,0.0078679,5,31,0,162.44,0.0465533,-0.473478,0.605582,-0.104874,48,55,0.00562802,0.0209897,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.23765,0.00274793,15,450,12599,226
-160.099,0.996452,0.0105035,4,23,0,161.856,0.0646646,-0.44043,0.616084,-0.160684,48,55,0.00567783,0.0214441,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.24264,0.00266701,15,450,12599,226
-160.099,0.00532364,0.0269033,2,7,0,163.8,0.0646646,-0.44043,0.616084,-0.160684,48,55,0.00567783,0.0214441,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.24264,0.00266701,15,450,12599,226
-160.896,0.999899,0.00284104,7,127,0,162.206,0.0668176,-0.482706,0.562849,-0.119914,48,55,0.00568375,0.0208628,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.21735,0.00272613,15,450,12599,226
-159.455,0.999924,0.0044155,6,95,0,161.55,-0.0319115,-0.308511,0.775531,-0.335684,48,55,0.00541224,0.023258,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.31838,0.00241326,15,450,12599,226
-158.996,0.996145,0.00337875,6,95,0,162.323,0.00603425,-0.379789,0.636446,-0.340743,48,55,0.00551659,0.0222779,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.25231,0.00240592,15,450,12599,226
-158.575,0.999995,0.0059991,7,127,0,159.311,0.0319463,-0.542845,0.345781,-0.519742,48,55,0.00558785,0.0200359,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.11425,0.00214637,15,450,12599,226
-158.62,0.993647,0.0073563,6,79,0,159.463,-0.0158858,-0.403351,0.561957,-0.475221,48,55,0.00545631,0.0219539,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.21693,0.00221093,15,450,12599,226
