# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompReprFP_OED2_Try1_model
# start_datetime = 2024-08-13 06:09:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED2_Try1_1.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED2_Try1_1.init.R
# random
#   seed = 1367664820 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED2_Try1_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,ki,kr,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-316.502,0.989901,0.00590509,3,15,0,317.816,0.0423494,-0.657439,0.0267104,-0.96833,48,55,0.00561646,0.0184602,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.962687,0.00149592,15,450,12599,226
-316.768,0.956293,0.00962788,4,23,0,319.054,0.0517926,-0.684896,0.0201601,-0.847835,48,55,0.00564243,0.0180827,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.959576,0.00167064,15,450,12599,226
-315.445,0.761436,0.0147362,2,3,0,318.298,0.0814534,-0.672049,0.0238909,-0.831482,48,55,0.005724,0.0182593,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.961348,0.00169435,15,450,12599,226
-316.496,0.753348,0.0128551,3,11,0,320.057,0.149405,-0.70672,-0.0145538,-0.795087,48,55,0.00591086,0.0177826,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.943087,0.00174712,15,450,12599,226
-321.137,0.889666,0.00741055,3,7,0,322.876,0.213823,-0.687637,-0.0567965,-0.777369,48,55,0.00608801,0.018045,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.923022,0.00177281,15,450,12599,226
-317.902,0.936436,0.0134305,2,3,0,321.696,0.180272,-0.701725,-0.0481902,-0.789136,48,55,0.00599575,0.0178513,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.92711,0.00175575,15,450,12599,226
-319.804,0.794497,0.0124919,2,3,0,320.198,0.177466,-0.730995,-0.0420926,-0.788407,48,55,0.00598803,0.0174488,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.930006,0.00175681,15,450,12599,226
-317.342,0.991381,0.0162139,4,23,0,321.978,0.0272803,-0.655465,-0.000298224,-0.997983,48,55,0.00557502,0.0184874,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.949858,0.00145293,15,450,12599,226
-317.174,0.712992,0.0216363,3,7,0,320.01,0.0580438,-0.647105,0.0408146,-0.931449,48,55,0.00565962,0.0186023,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.969387,0.0015494,15,450,12599,226
-316.077,0.866317,0.0190222,2,3,0,317.706,0.0593023,-0.683921,0.0244585,-0.929231,48,55,0.00566308,0.0180961,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.961618,0.00155261,15,450,12599,226
