0,0.792,1.584,3.137,6.154,11.852,22.07,33.9,40,80
549978,525119,601226,475905,638028,522714,526633,558216,545394,545394
550712,505205,551808,470120,583595,602784,570481,582671,530649,530649
526952,528051,537545,488306,548459,587166,561113,561716,552404,552404
